-0.03847,-0.13734,-0.029212,0.026002,-0.0065244,-0.018303,-0.004459,0.062534,0.049394,-0.060537,-0.11607,-0.025258,-0.035584,-0.0024748,0.03463,0.10788,0.0035362,0.14635,0.0034885,0.030474,0.0019638,-0.0013778,-0.0026634,0.062335,0.039617,-0.03312,-0.12335,-0.028403,0.11534,-0.0030637,-0.00063781,0.036638,-0.01351
0.026184,-0.1767,-0.048938,-0.015206,-0.020764,-0.0513,-0.054367,0.15859,0.11823,-0.011943,-0.098728,-0.074199,-0.061058,-0.0013927,0.0778,0.14526,0.0065436,0.073756,0.021587,0.0011345,0.017567,0.00046361,-0.0011462,0.051187,0.076225,-0.010951,0.027368,-0.090766,0.062918,0.0025597,0.014093,0.01183,-0.04278
0.080051,-0.15988,0.062652,0.0052826,-0.0088709,-0.086744,-0.021353,0.10189,0.058116,-0.035953,-0.14335,-0.052947,-0.088991,-7.331e-05,0.029998,0.15836,0.008267,-0.16139,0.052444,0.062058,0.026681,0.0038376,0.0016405,0.058518,0.28225,-0.049388,-0.020703,-0.21809,0.060608,0.016899,0.029045,-0.023198,-0.03912
0.060665,-0.1534,0.048956,0.027316,-0.013645,-0.12373,-0.042079,0.060622,-0.013221,0.057034,-0.11434,-0.022322,-0.10954,-0.0017977,-0.007132,0.12464,0.0099463,-0.24596,0.061505,0.025156,0.035639,0.0079267,0.0059235,0.038153,0.24691,-0.042828,-0.12869,-0.18085,0.10507,0.032324,0.041148,0.14906,0.0073334
0.052712,-0.19387,-0.077719,0.035579,-0.026645,-0.13578,-0.11024,-0.079533,-0.27994,-0.09389,-0.087826,-0.014536,-0.11898,-0.00195,-0.053786,0.052574,0.0076882,-0.14877,0.040808,0.039333,0.050305,0.0068852,0.0082712,-0.028294,0.30978,-0.021899,-0.15861,-0.14836,0.20644,0.038572,0.046,0.067024,0.028247
0.13213,-0.29227,-0.091889,0.063519,-0.019645,-0.12998,-0.086672,-0.049623,-0.23632,-0.027713,0.049538,-0.065474,-0.13369,0.005583,-0.10147,0.074461,0.010735,-0.1872,0.038529,0.0341,0.088578,0.0078523,0.0078547,-0.056145,0.28162,-0.033187,-0.22588,0.0039523,0.076956,0.046448,0.056257,0.020166,0.030025
0.15602,-0.28128,-0.047839,0.109,-0.13292,-0.12374,-0.021933,-0.022799,-0.19471,-0.10096,0.048069,0.016835,-0.15436,0.019929,-0.16184,-0.0029666,0.0125,-0.16784,0.05578,0.022903,0.099135,0.011095,0.0090637,-0.091335,0.27309,-0.10126,-0.13523,0.01644,0.0060408,0.054451,0.059567,0.030944,0.0059492
0.07314,-0.25327,-0.19812,0.01709,-0.25538,-0.1506,-0.11475,0.0017319,-0.079389,-0.02003,0.082363,-0.016021,-0.17734,0.024072,-0.2565,0.049574,0.013457,-0.23557,0.074054,0.00078264,0.10712,0.0158,0.016138,-0.16051,0.20525,-0.11345,-0.10133,0.034133,0.055636,0.048698,0.051987,-0.0034294,-0.0080428
-0.14158,-0.22442,-0.37884,-0.17452,-0.34362,-0.22434,-0.10827,-0.10197,-0.14158,-0.12019,0.0062931,0.017776,-0.22787,0.026922,-0.34521,0.12045,0.0065436,-0.28976,0.095917,-0.00050225,0.10419,0.016403,0.015144,-0.22089,0.15893,-0.17362,-0.20363,-0.10602,0.13317,0.025835,0.025944,-0.04196,-0.00091084
-0.2995,-0.17322,-0.5431,-0.38602,-0.54025,-0.2765,-0.24713,0.05247,-0.018237,-0.056303,0.062478,-0.055108,-0.25503,0.016779,-0.48498,0.088211,-0.019558,-0.31332,0.10835,-0.065074,0.098087,0.0079819,0.0088573,-0.31194,-0.0019203,-0.24908,-0.3498,-0.17789,0.18248,-0.010724,-0.013516,-0.22307,-0.037854
