id,name,location,created_at,updated_at,cluster_id,edms_id,building_type_id,connection_type_id,location_x,location_y,feeder_id
100,Prosumer1,,2016-09-23 15:51:58 +0300,2016-09-23 15:51:58 +0300,,1,,,,,
145,Prosumer2,,2016-09-23 15:51:58 +0300,2016-09-23 15:51:58 +0300,,b827eb4c14af,,,,,
146,Prosumer3,,2016-09-23 15:51:58 +0300,2016-09-23 15:51:58 +0300,,b827eb725029,,,,,
3000,HEDNO_pv_lv_3000,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3000,,,,,
3001,HEDNO_pv_lv_3001,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3001,,,,,
3002,HEDNO_pv_lv_3002,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3002,,,,,
3003,HEDNO_pv_lv_3003,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3003,,,,,
3004,HEDNO_pv_lv_3004,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3004,,,,,
3005,HEDNO_pv_lv_3005,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3005,,,,,
3006,HEDNO_pv_lv_3006,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3006,,,,,
3007,HEDNO_pv_lv_3007,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3007,,,,,
3008,HEDNO_pv_lv_3008,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3008,,,,,
3009,HEDNO_pv_lv_3009,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3009,,,,,
3010,HEDNO_pv_lv_3010,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3010,,,,,
3011,HEDNO_pv_lv_3011,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3011,,,,,
3012,HEDNO_pv_lv_3012,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3012,,,,,
3013,HEDNO_pv_lv_3013,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3013,,,,,
3014,HEDNO_pv_lv_3014,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3014,,,,,
3015,HEDNO_pv_lv_3015,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3015,,,,,
3016,HEDNO_pv_lv_3016,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3016,,,,,
3017,HEDNO_pv_lv_3017,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3017,,,,,
3018,HEDNO_pv_lv_3018,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3018,,,,,
3019,HEDNO_pv_lv_3019,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3019,,,,,
3020,HEDNO_pv_lv_3020,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3020,,,,,
3021,HEDNO_pv_lv_3021,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3021,,,,,
3022,HEDNO_pv_lv_3022,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3022,,,,,
3023,HEDNO_pv_lv_3023,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3023,,,,,
3024,HEDNO_pv_lv_3024,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3024,,,,,
3025,HEDNO_pv_lv_3025,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3025,,,,,
3026,HEDNO_pv_lv_3026,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3026,,,,,
3027,HEDNO_pv_lv_3027,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3027,,,,,
3028,HEDNO_pv_lv_3028,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3028,,,,,
3029,HEDNO_pv_lv_3029,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3029,,,,,
3030,HEDNO_pv_lv_3030,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3030,,,,,
3031,HEDNO_pv_lv_3031,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3031,,,,,
3032,HEDNO_pv_lv_3032,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3032,,,,,
3033,HEDNO_pv_lv_3033,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3033,,,,,
3034,HEDNO_pv_lv_3034,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3034,,,,,
3035,HEDNO_pv_lv_3035,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3035,,,,,
3036,HEDNO_pv_lv_3036,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3036,,,,,
3037,HEDNO_pv_lv_3037,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3037,,,,,
3038,HEDNO_pv_lv_3038,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3038,,,,,
3039,HEDNO_pv_lv_3039,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3039,,,,,
3040,HEDNO_pv_lv_3040,"Υ/Σ Λητής, Θεσσαλονίκη",,,107,3040,,,,,
4001,HEDNO_wind_4001,Αλιβερίου,,,99,104001,,,,,
4002,HEDNO_wind_4002,Αλιβερίου,,,99,104002,,,,,
4003,HEDNO_wind_4003,Καρύστου,,,99,104003,,,,,
4004,HEDNO_wind_4004,Καρύστου,,,99,104004,,,,,
4005,HEDNO_wind_4005,Αλιβερίου,,,99,104005,,,,,
4006,HEDNO_wind_4006,Αλιβερίου,,,99,104006,,,,,
4007,HEDNO_wind_4007,Αλιβερίου,,,99,104007,,,,,
4008,HEDNO_wind_4008,Αλιβερίου,,,99,104008,,,,,
4009,HEDNO_wind_4009,Καρύστου,,,99,104009,,,,,
4010,HEDNO_wind_4010,Αλιβερίου,,,99,104010,,,,,
4011,HEDNO_wind_4011,Αιγίου,,,99,104011,,,,,
4012,HEDNO_wind_4012,Αιγίου,,,99,104012,,,,,
4013,HEDNO_wind_4013,Ηρακλείου,,,99,104013,,,,,
4014,HEDNO_wind_4014,Ηρακλείου,,,99,104014,,,,,
