prosumer_id,prosumer_name,location,total_consumption,total_production,max_consumption,max_production,avg_total_consumption,avg_total_production,avg_max_consumption,avg_max_production
3032,HEDNO_pv_lv_3032,"Υ/Σ Λητής, Θεσσαλονίκη",0.0,37218.7300000001,,5.054,0.0,3101.5608333333316,0.0,4.686
3033,HEDNO_pv_lv_3033,"Υ/Σ Λητής, Θεσσαλονίκη",0.0,30037.8990000001,,4.942,0.0,2503.1582499999995,0.0,4.409833333333333
3034,HEDNO_pv_lv_3034,"Υ/Σ Λητής, Θεσσαλονίκη",0.0,30733.195,,4.951,0.0,2561.099583333334,0.0,4.529583333333333
3035,HEDNO_pv_lv_3035,"Υ/Σ Λητής, Θεσσαλονίκη",0.0,31474.8059999999,,4.975,0.0,2622.9004999999993,0.0,4.564500000000001
3036,HEDNO_pv_lv_3036,"Υ/Σ Λητής, Θεσσαλονίκη",0.0,34576.8660000001,,4.985,0.0,2881.4054999999994,0.0,4.3565
3037,HEDNO_pv_lv_3037,"Υ/Σ Λητής, Θεσσαλονίκη",0.0,31763.9890000002,,4.659,0.0,2646.9990833333345,0.0,4.292583333333333
3038,HEDNO_pv_lv_3038,"Υ/Σ Λητής, Θεσσαλονίκη",0.0,34991.682,,5.156,0.0,2915.9735,0.0,4.719083333333334
3039,HEDNO_pv_lv_3039,"Υ/Σ Λητής, Θεσσαλονίκη",0.0,28615.2310000002,,4.887,0.0,2384.6025833333324,0.0,4.276416666666666
3040,HEDNO_pv_lv_3040,"Υ/Σ Λητής, Θεσσαλονίκη",0.0,30362.0370000002,,4.607,0.0,2530.16975,0.0,4.033583333333333
4001,HEDNO_wind_4001,Αλιβερίου,0.0,4540671.40000003,,399.2,0.0,378375.0166666668,0.0,365.84999999999997
4002,HEDNO_wind_4002,Αλιβερίου,0.0,24717161.5999999,,2184.0,0.0,2059685.3333333342,0.0,2022.8
4003,HEDNO_wind_4003,Καρύστου,0.0,14853732.8000001,,1756.8,0.0,1237760.666666667,0.0,1540.0666666666668
4004,HEDNO_wind_4004,Καρύστου,0.0,31870843.2000001,,2568.0,0.0,2655784.533333335,0.0,2338.0000000000005
4005,HEDNO_wind_4005,Αλιβερίου,0.0,27693548.8000009,,1952.0,0.0,2307688.400000005,0.0,1754.2666666666667
4006,HEDNO_wind_4006,Αλιβερίου,0.0,33859812.8000001,,2851.2,0.0,2821532.2666666675,0.0,2629.3333333333335
4007,HEDNO_wind_4007,Αλιβερίου,0.0,33275696.0000002,,2544.0,0.0,2772858.533333333,0.0,2363.866666666667
4008,HEDNO_wind_4008,Αλιβερίου,0.0,38172076.8000003,,2964.8,0.0,3180888.9333333345,0.0,2829.600000000001
4009,HEDNO_wind_4009,Καρύστου,0.0,31557732.8000002,,3171.2,0.0,2629727.4666666696,0.0,2903.733333333333
4010,HEDNO_wind_4010,Αλιβερίου,0.0,35550723.2000005,,2787.2,0.0,2962374.0000000033,0.0,2560.7999999999997
4011,HEDNO_wind_4011,Αιγίου,0.0,36356598.4000004,,2875.2,0.0,3029533.3333333344,0.0,2780.5333333333333
4012,HEDNO_wind_4012,Αιγίου,0.0,13585032.0,,2308.0,0.0,1132086.0,0.0,2237.3333333333335
4013,HEDNO_wind_4013,Ηρακλείου,0.0,14785552.0,,2548.0,0.0,1232128.6666666667,0.0,2483.3333333333335
