start:2016-10-06 end:2016-10-13, 29:243:89:154 37:153:0:153 35:153:0:153 31:153:0:153 30:139:0:139 26:120:0:120 32:74:74:0 47:73:0:73 46:69:0:69 49:67:67:0 27:39:34:5 41:20:0:20 45:11:0:11 44:0:0:0 36:0:0:0 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 34:0:0:0
start:2016-10-05 end:2016-10-12, 29:241:88:153 37:152:0:152 35:152:0:152 31:152:0:152 30:137:0:137 26:121:0:121 47:85:0:85 49:79:79:0 46:79:0:79 32:74:74:0 45:12:0:12 41:11:0:11 27:11:10:1 34:3:0:3 44:0:0:0 36:0:0:0 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0
start:2016-10-04 end:2016-10-11, 29:244:88:156 37:155:0:155 35:155:0:155 31:155:0:155 30:140:0:140 26:121:0:121 49:95:95:0 47:92:0:92 46:79:0:79 32:78:78:0 45:11:0:11 41:11:0:11 34:8:0:8 44:0:0:0 36:0:0:0 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-10-03 end:2016-10-10, 29:250:85:165 37:164:0:164 35:164:0:164 31:164:0:164 30:151:0:151 26:132:0:132 49:107:107:0 47:97:0:97 46:88:0:88 32:79:79:0 41:25:0:25 34:13:0:13 45:12:0:12 44:0:0:0 36:0:0:0 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-10-02 end:2016-10-09, 29:250:83:167 31:167:0:167 37:166:0:166 35:166:0:166 30:155:0:155 26:131:0:131 49:117:117:0 47:101:0:101 46:91:0:91 32:80:80:0 41:48:0:48 34:17:0:17 45:12:0:12 44:0:0:0 36:0:0:0 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-10-01 end:2016-10-08, 29:250:84:166 37:166:0:166 35:166:0:166 31:166:0:166 30:156:0:156 26:131:0:131 49:127:127:0 47:100:0:100 46:90:0:90 32:81:81:0 41:71:0:71 34:17:0:17 45:11:0:11 44:0:0:0 36:0:0:0 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-30 end:2016-10-07, 29:248:83:165 31:165:0:165 37:155:0:155 35:155:0:155 30:150:0:150 49:137:137:0 26:127:0:127 47:91:0:91 46:85:0:85 41:81:0:81 32:75:75:0 34:17:0:17 45:12:0:12 44:0:0:0 36:0:0:0 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-29 end:2016-10-06, 29:249:84:165 31:165:0:165 37:155:0:155 35:155:0:155 49:151:151:0 30:149:0:149 26:125:0:125 47:93:0:93 41:89:0:89 46:85:0:85 32:76:76:0 34:17:0:17 45:10:0:10 44:0:0:0 36:0:0:0 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-28 end:2016-10-05, 29:252:86:166 31:166:0:166 49:163:163:0 37:156:0:156 35:156:0:156 30:150:0:150 26:123:0:123 47:93:0:93 41:93:0:93 46:85:0:85 32:76:76:0 36:22:0:22 34:15:0:15 45:11:0:11 44:3:0:3 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-27 end:2016-10-04, 29:256:90:166 49:166:166:0 31:165:0:165 37:156:0:156 35:156:0:156 30:149:0:149 26:129:0:129 41:92:0:92 47:87:0:87 46:85:0:85 32:76:76:0 36:46:0:46 45:13:0:13 34:10:0:10 44:7:0:7 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-26 end:2016-10-03, 29:249:93:156 49:156:156:0 31:155:0:155 37:146:0:146 35:146:0:146 30:137:0:137 26:119:0:119 41:88:0:88 47:82:0:82 32:76:76:0 46:75:0:75 36:60:0:60 45:12:0:12 44:9:0:9 34:5:0:5 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-25 end:2016-10-02, 29:220:82:138 49:139:139:0 31:138:0:138 37:128:0:128 35:128:0:128 30:121:0:121 26:106:0:106 41:71:0:71 47:68:0:68 46:68:0:68 36:65:0:65 32:64:64:0 44:12:0:12 45:11:0:11 40:1:0:1 34:1:0:1 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-24 end:2016-10-01, 29:217:78:139 49:140:140:0 31:139:0:139 37:129:0:129 35:129:0:129 30:121:0:121 26:107:0:107 36:89:0:89 41:72:0:72 46:68:0:68 47:66:0:66 32:64:64:0 44:15:0:15 45:11:0:11 48:1:0:1 40:1:0:1 34:1:0:1 28:0:0:0 43:0:0:0 42:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-23 end:2016-09-30, 29:204:64:140 49:141:141:0 37:140:0:140 35:140:0:140 31:140:0:140 30:127:0:127 36:113:0:113 26:112:0:112 41:83:0:83 47:72:0:72 46:72:0:72 32:70:70:0 44:21:0:21 45:10:0:10 48:2:0:2 40:1:0:1 34:1:0:1 28:0:0:0 43:0:0:0 42:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-22 end:2016-09-29, 29:190:50:140 37:140:0:140 35:140:0:140 36:137:0:137 31:131:0:131 30:127:0:127 49:125:125:0 26:114:0:114 41:85:0:85 47:75:0:75 46:72:0:72 32:69:69:0 44:24:0:24 45:11:0:11 48:2:0:2 40:1:0:1 34:1:0:1 28:0:0:0 43:0:0:0 42:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-21 end:2016-09-28, 29:176:36:140 36:140:0:140 37:140:0:140 35:140:0:140 30:129:0:129 31:123:0:123 26:106:0:106 49:101:101:0 41:80:0:80 47:77:0:77 46:71:0:71 32:70:70:0 44:25:0:25 45:11:0:11 48:2:0:2 40:1:0:1 34:1:0:1 28:0:0:0 43:0:0:0 42:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-20 end:2016-09-27, 29:162:22:140 36:140:0:140 37:140:0:140 35:140:0:140 30:130:0:130 31:121:0:121 26:90:0:90 41:81:0:81 49:77:77:0 47:77:0:77 32:70:70:0 46:67:0:67 44:24:0:24 45:9:0:9 48:2:0:2 40:1:0:1 34:1:0:1 28:0:0:0 43:0:0:0 42:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-19 end:2016-09-26, 29:159:10:149 36:149:0:149 37:149:0:149 35:149:0:149 30:139:0:139 31:130:0:130 26:85:0:85 41:73:0:73 32:70:70:0 47:69:0:69 46:67:0:67 49:62:62:0 44:22:0:22 45:8:0:8 48:2:0:2 40:1:0:1 34:1:0:1 28:0:0:0 43:0:0:0 42:0:0:0 39:0:0:0 38:0:0:0 27:0:0:0
start:2016-09-18 end:2016-09-25, 29:177:10:167 36:169:0:169 37:169:0:169 35:169:0:169 30:156:0:156 31:148:0:148 32:83:83:0 26:83:0:83 47:79:0:79 46:75:0:75 41:68:0:68 49:57:57:0 44:25:0:25 45:10:0:10 48:2:0:2 28:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 34:0:0:0 27:0:0:0
start:2016-09-17 end:2016-09-24, 36:169:0:169 37:169:0:169 35:169:0:169 29:166:0:166 30:157:0:157 31:146:0:146 32:84:84:0 47:81:0:81 46:75:0:75 26:67:0:67 41:45:0:45 49:33:33:0 44:25:0:25 45:11:0:11 48:1:0:1 28:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 34:0:0:0 27:0:0:0
start:2016-09-16 end:2016-09-23, 36:169:0:169 37:169:0:169 35:169:0:169 29:166:0:166 30:157:0:157 31:137:0:137 47:83:0:83 32:83:83:0 46:75:0:75 26:57:0:57 41:27:0:27 44:24:0:24 45:12:0:12 49:9:9:0 28:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 34:0:0:0 27:0:0:0
start:2016-09-15 end:2016-09-22, 36:169:0:169 37:169:0:169 35:169:0:169 29:166:0:166 30:158:0:158 31:136:0:136 32:83:83:0 47:79:0:79 46:74:0:74 26:50:0:50 41:29:0:29 44:24:0:24 45:11:0:11 28:1:0:1 49:0:0:0 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 34:0:0:0 27:0:0:0
start:2016-09-14 end:2016-09-21, 36:168:0:168 37:168:0:168 35:168:0:168 29:165:0:165 30:157:0:157 31:142:0:142 32:82:82:0 47:74:0:74 46:74:0:74 26:47:0:47 41:35:0:35 44:25:0:25 45:10:0:10 49:1:1:0 28:1:0:1 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 34:0:0:0 27:0:0:0
start:2016-09-13 end:2016-09-20, 36:168:0:168 37:168:0:168 35:168:0:168 29:165:0:165 30:157:0:157 31:145:0:145 32:82:82:0 46:76:0:76 47:73:0:73 26:49:0:49 41:35:0:35 44:26:0:26 45:10:0:10 49:1:1:0 28:1:0:1 48:0:0:0 43:0:0:0 42:0:0:0 40:0:0:0 39:0:0:0 38:0:0:0 34:0:0:0 27:0:0:0
