-0.057934,0.036666,0.054432,0.008907,0.0096059,0.089762,0.010489,-0.012122,-0.11904,-0.22225,0.0043428,0.0029941,0.002871,-0.08216,-0.12043,-0.045702,0.0040157
-0.044952,0.065199,0.12418,0.0033194,0.00089253,0.045523,0.017259,-0.024906,-0.31671,-0.47877,0.028347,-0.0057107,0.0042963,-0.16166,-0.23738,-0.22545,-0.003677
-0.019532,0.11343,0.19945,-0.0092152,-0.013123,0.13485,-0.013276,-0.016485,-0.48507,-0.78038,0.0077338,-0.042628,0.0062927,-0.22382,-0.21894,-0.21854,-0.084523
-0.0069741,0.15253,0.27287,-0.0014802,-0.0065558,0.14653,-0.022033,-0.027544,-0.69368,-1.1828,0.013237,-0.09203,-0.0019326,0.015903,-0.022086,-0.40494,-0.33964
0.015071,0.17431,0.30166,-0.031318,-0.033507,0.12295,-0.035365,-0.03771,-0.93938,-1.6765,0.02503,-0.13458,-0.011972,-0.32448,-0.32762,-0.46045,-0.73199
-0.029425,0.18297,0.32116,-0.058239,-0.061851,0.15339,-0.022897,-0.043415,-1.136,-2.075,0.066587,-0.17352,-0.029952,-0.77097,-0.78091,-0.58545,-1.1584
-0.12778,0.16841,0.34086,-0.062946,-0.068153,0.14856,-0.018225,-0.063082,-1.329,-2.4847,0.10447,-0.18377,-0.053247,-0.48121,-0.48491,-0.68297,-1.528
-0.17392,0.13175,0.31634,-0.068916,-0.0723,0.16477,-0.017389,-0.070586,-1.451,-2.7127,0.17041,-0.21756,-0.076986,-0.83451,-0.75417,-0.66704,-1.8186
-0.18417,0.085873,0.32377,-0.090911,-0.092837,0.17057,-0.019925,-0.086037,-1.5813,-2.9,0.20059,-0.22515,-0.09346,-1.1966,-1.2188,-0.8201,-2.0921
-0.29469,0.051789,0.30411,-0.11703,-0.12085,0.17508,-0.034179,-0.10547,-1.8101,-2.9233,0.20291,-0.24466,-0.10682,-1.5042,-1.4914,-1.0514,-2.3231
