-3.5695,-4.1202,-1.7563,-2.9392,-2.0644,-4.0344,-4.1137,-3.5171,-3.2787,-3.7617,-3.6036,-2.8902,-2.9657,-4.2647,-3.5447,-3.2885,-3.7755,-4.452,-4.5593,-4.0369,-4.3549,-2.4815,-3.9972,-3.895,-2.0338,-3.8287,-3.9637,-3.6095,-3.9946,-4.0187,-2.4595,-4.4346,-3.9319,-3.9764,-2.093,-4.0146,-4.5347,-4.005,-2.7168
-3.0145,-4.0303,-1.5561,-2.8456,-2.1964,-4.1133,-4.2327,-3.2763,-3.0742,-3.7487,-3.5649,-3.2236,-3.0778,-4.1644,-3.4793,-3.0929,-3.8253,-4.337,-4.4604,-3.9497,-4.235,-2.4325,-3.7951,-3.8101,-1.9255,-3.8198,-3.9604,-3.3601,-3.8326,-3.7993,-2.3992,-4.3033,-3.7524,-3.7848,-1.9009,-3.9504,-4.4114,-3.971,-2.6727
-3.1134,-3.8217,-1.357,-2.721,-2.005,-3.9368,-4.066,-3.1528,-3.0069,-3.6512,-3.4634,-3.1057,-3.0708,-4.0611,-3.3902,-2.8586,-3.7112,-4.208,-4.3505,-3.876,-4.0887,-2.3752,-3.8863,-3.7227,-1.9267,-3.8016,-3.9322,-3.3279,-3.9697,-3.7393,-2.1673,-4.2692,-3.7436,-3.778,-1.9301,-3.8783,-4.2804,-3.9054,-2.613
-3.3659,-3.7455,-1.5863,-2.7091,-2.2402,-3.8907,-4.0165,-3.1898,-3.0125,-3.4424,-3.2553,-3.3972,-2.9765,-3.9396,-3.3096,-2.7995,-3.622,-4.0774,-4.2201,-3.7581,-3.9679,-2.3111,-3.9272,-3.6204,-1.5861,-3.5776,-3.7311,-3.3796,-3.8277,-3.6653,-2.015,-4.154,-3.538,-3.5736,-1.8993,-3.7653,-4.129,-3.7959,-2.5408
-3.0993,-3.6777,-1.831,-2.7573,-2.2202,-3.7603,-4.0401,-3.1678,-2.9906,-3.3326,-3.1368,-3.1535,-2.9982,-3.8069,-3.1821,-2.6076,-3.5221,-3.9403,-4.0762,-3.6648,-3.86,-2.2355,-3.7499,-3.5024,-1.6197,-3.4442,-3.6006,-3.2755,-3.5513,-3.5828,-1.895,-4.257,-3.371,-3.4024,-1.8002,-3.6552,-3.9656,-3.7264,-2.4799
-2.9432,-3.7074,-1.6815,-2.811,-2.1665,-3.6127,-3.8734,-3.0842,-2.8515,-3.2069,-3.0101,-3.0272,-2.9204,-3.6601,-3.1017,-2.4556,-3.4114,-3.796,-3.9206,-3.5361,-3.7353,-2.1463,-3.6734,-3.3786,-1.6359,-3.4119,-3.5692,-3.1414,-3.4754,-3.495,-1.776,-4.1423,-3.1922,-3.2362,-1.6259,-3.5441,-3.7936,-3.584,-2.4113
-2.8021,-3.6599,-1.4431,-2.8373,-1.9211,-3.5141,-3.9365,-2.9533,-2.6866,-2.9618,-2.7672,-2.8595,-2.9184,-3.5094,-2.9626,-2.3362,-3.3345,-3.643,-3.7555,-3.3962,-3.601,-2.061,-3.5651,-3.252,-1.3443,-3.292,-3.462,-3.0266,-3.4594,-3.3522,-1.6553,-4.0952,-3.0096,-3.0486,-1.6223,-3.401,-3.6124,-3.505,-2.3361
-2.7571,-3.602,-1.3213,-2.7434,-1.7948,-3.3623,-3.7398,-2.8118,-2.5291,-2.7727,-2.5684,-2.8023,-2.799,-3.3548,-2.8382,-2.1267,-3.2232,-3.4927,-3.5835,-3.2398,-3.4583,-1.9661,-3.4245,-3.1178,-0.98411,-3.094,-3.2705,-2.8638,-3.3287,-3.2022,-1.5773,-3.8823,-2.8139,-2.8429,-1.4381,-3.2593,-3.4261,-3.3654,-2.2628
-2.7859,-3.5004,-1.2166,-2.6542,-1.6968,-3.2555,-3.6573,-2.6663,-2.3832,-2.6406,-2.4324,-2.5706,-2.7057,-3.1832,-2.6964,-2.0452,-3.0949,-3.3463,-3.4042,-3.1008,-3.315,-1.8646,-3.2948,-2.9745,-0.82493,-2.9107,-3.0855,-2.719,-3.1854,-3.0491,-1.4995,-3.7161,-2.6737,-2.7105,-1.3107,-3.1142,-3.2301,-3.2614,-2.1819
-2.603,-3.3235,-1.1508,-2.5363,-1.6678,-3.1198,-3.4174,-2.5319,-2.2622,-2.4374,-2.2353,-2.5174,-2.6118,-3.0001,-2.5561,-1.9086,-2.9551,-3.2,-3.2214,-2.9473,-3.1696,-1.765,-3.1292,-2.8311,-0.77591,-2.7783,-2.9451,-2.5775,-3.0693,-2.9002,-1.425,-3.5155,-2.505,-2.5353,-1.2348,-2.9532,-3.0331,-3.1115,-2.1026
