-0.42264,-0.30926,-0.012446,-0.21866,-0.082645,-0.16723,-0.074689,-0.12821,-0.112,-0.096344,-0.12054,-0.05611,-0.016229,-0.10371,-0.13843,-0.13781,-0.064095,-0.023559,-0.16629,-0.021223,-0.053569,-0.070317,-0.14648
-0.50913,-0.55961,0.10763,-0.20654,-0.1735,-0.33404,-0.17517,-0.36828,-0.25291,-0.17487,-0.27653,-0.19684,-0.20847,-0.21672,-0.2273,-0.22526,-0.14239,-0.206,-0.32185,-0.1806,-0.09899,-0.20067,-0.27614
-0.47383,-0.6681,-0.11287,-0.29435,-0.28601,-0.50057,-0.27734,-0.53854,-0.33716,-0.25196,-0.4182,-0.37033,-0.32558,-0.37927,-0.35014,-0.34873,-0.2217,-0.52476,-0.50754,-0.37351,-0.15353,-0.2573,-0.43114
-0.46642,-0.76231,-0.22872,-0.41256,-0.36667,-0.64497,-0.37171,-0.72307,-0.44789,-0.3365,-0.56967,-0.49967,-0.54105,-0.53199,-0.48741,-0.48601,-0.33511,-0.41916,-0.73667,-0.73923,-0.24932,-0.37535,-0.68017
-0.35126,-0.89917,-0.24726,-0.64844,-0.44124,-0.79812,-0.45628,-0.8869,-0.55822,-0.43651,-0.75494,-0.60066,-0.68291,-0.68104,-0.63762,-0.63501,-0.56378,-0.47776,-0.81218,-0.66779,-0.3781,-0.53735,-0.67373
-0.45863,-1.1521,-0.16743,-0.81341,-0.58312,-0.966,-0.54079,-1.0567,-0.68827,-0.54431,-0.88312,-0.74351,-0.81633,-0.82921,-0.78644,-0.78555,-0.80441,-0.51613,-0.89666,-0.74041,-0.48506,-0.61885,-0.78816
-0.55418,-1.5232,-0.43253,-0.89324,-0.72268,-1.0563,-0.63512,-1.2175,-0.80639,-0.65731,-1.055,-0.88468,-0.97908,-0.97219,-0.91954,-0.91857,-1.0258,-0.90019,-1.1039,-0.99888,-0.60588,-0.73285,-1.0067
-0.73892,-1.6971,-0.50111,-1.099,-0.82676,-1.2544,-0.74152,-1.3819,-0.9656,-0.77609,-1.2474,-1.075,-1.1111,-1.1055,-1.0693,-1.0649,-1.2994,-0.79212,-1.1093,-1.3899,-0.7426,-0.86208,-0.96485
-1.1213,-1.7252,-0.42451,-1.0586,-0.87332,-1.5151,-0.82407,-1.4103,-1.0999,-0.89364,-1.2904,-1.1697,-1.2089,-1.2246,-1.2244,-1.2174,-1.4075,-0.88369,-1.4571,-1.3647,-0.87821,-1.0228,-1.2403
-1.1249,-1.8122,-0.35485,-1.1846,-0.95501,-1.5997,-0.91348,-1.5965,-1.1949,-1.0041,-1.405,-1.2233,-1.4091,-1.3277,-1.334,-1.3291,-1.552,-1.3152,-1.9663,-1.3526,-1.0183,-1.2117,-1.4143
