-0.027789,-0.2023,-0.26513,-0.16284,-0.082612,0.014822,-0.030948,-0.068007,-0.024608,-0.14112,-0.043776,-0.0065766,-0.0052381,0.004896,0.068107,-0.00059716,-0.0048154,-0.055476,-0.052894,-0.22192
-0.065158,-0.42495,-0.46333,-0.41637,-0.13635,-0.0073997,-0.068844,-0.1132,-0.066524,-0.3683,-0.094578,-0.022888,-0.019167,-0.20223,-0.0055076,-0.19438,-0.011557,-0.077669,-0.10628,-0.40221
-0.025463,-0.69667,-0.89609,-0.65562,-0.33885,-0.050759,-0.10474,-0.14263,-0.12222,-0.51678,-0.13639,-0.066102,-0.06459,-0.42733,-0.20198,-0.47141,-0.070023,-0.12213,-0.14514,-0.58902
-0.088844,-1.1519,-1.1093,-1.1335,-0.61599,-0.11705,-0.15256,-0.21934,-0.19982,-0.88788,-0.23774,-0.13159,-0.12764,-0.79378,-0.38706,-0.89764,-0.13425,-0.22846,-0.25026,-0.87473
-0.12185,-1.4236,-1.5333,-1.4554,-0.91104,-0.23843,-0.22881,-0.31933,-0.29945,-1.2549,-0.39196,-0.23011,-0.22649,-1.0632,-0.55357,-1.2992,-0.20919,-0.32636,-0.33412,-1.0619
-0.13117,-1.7327,-1.7377,-1.815,-1.1735,-0.39475,-0.34143,-0.42188,-0.43086,-1.5043,-0.44196,-0.36088,-0.35974,-1.2868,-0.94748,-1.6521,-0.29881,-0.44096,-0.45251,-1.2428
-0.18781,-1.9636,-2.0574,-2.0788,-1.5483,-0.51609,-0.45865,-0.54666,-0.58847,-1.923,-0.5833,-0.47011,-0.47432,-1.549,-1.4483,-1.8789,-0.44367,-0.59869,-0.60707,-1.3667
-0.28836,-2.2213,-2.2421,-2.2331,-1.8503,-0.62942,-0.57087,-0.67244,-0.77099,-2.2317,-0.69531,-0.61176,-0.61841,-1.6375,-1.6755,-2.1032,-0.59161,-0.74153,-0.75095,-1.5254
-0.44916,-2.423,-2.3571,-2.4494,-2.1091,-0.77389,-0.71533,-0.80967,-0.96721,-2.4302,-0.92629,-0.80743,-0.80625,-1.7105,-1.8439,-2.1444,-0.69985,-0.93303,-0.93657,-1.7962
-0.61871,-2.4905,-2.5986,-2.5499,-2.1863,-0.90935,-0.87951,-0.97275,-1.1734,-2.5894,-1.1047,-0.93831,-0.94213,-2.1052,-2.0759,-2.2079,-0.88761,-1.1509,-1.1466,-1.8906
