-0.76226,-1.3268,-2.8295,-0.72304,-0.91349,-0.89289,-0.48125,-0.47231,-0.75631,-0.92867,-0.86183,-0.7227,-0.85458,-0.67576,-1.8401,-2.2899,-0.96268,-2.801,-1.7074,-1.7203,-0.52896,-1.1132,-1.9797,-0.3211,-0.52753,-0.20976,-0.50817,-2.151
-0.71291,-1.2917,-2.9509,-0.32245,-0.86917,-0.8282,-0.15955,-0.13937,-0.34913,-0.80284,-0.78368,-0.68232,-0.9745,-0.95748,-2.2219,-2.1561,-0.80229,-2.6193,-1.8058,-1.8209,-0.486,-0.89133,-1.98,-0.27748,-0.56363,-0.10456,-0.30604,-1.8393
-0.79888,-1.3412,-3.0994,-0.26524,-0.71511,-0.68796,-0.09097,-0.07834,-0.0074882,-0.65958,-0.79375,-0.58044,-0.8899,-0.54414,-2.1286,-1.9295,-0.57827,-2.4882,-1.2127,-1.2041,-0.48051,-0.81026,-1.9162,-0.24395,-0.54696,-0.04459,-0.35476,-1.9916
-0.74581,-1.418,-3.1328,-0.15635,-0.43137,-0.3959,0.01763,0.021255,0.028361,-0.60572,-0.71896,-0.42903,-0.88897,-0.53197,-2.1094,-1.7964,-0.54965,-2.6332,-1.3436,-1.3576,-0.45045,-0.83121,-1.7983,-0.23147,-0.48307,0.016636,-0.39007,-2.1803
-0.72356,-1.4005,-2.8582,0.01388,-0.50477,-0.46343,-0.083618,-0.081094,-0.0055009,-0.53424,-0.52947,-0.37565,-0.67498,-0.22572,-1.6896,-1.7871,-0.48191,-2.5453,-1.6022,-1.6031,-0.40507,-0.85034,-1.7264,-0.18594,-0.44527,0.02923,-0.26243,-2.1428
-0.69953,-1.325,-2.7474,-0.075327,-0.37217,-0.34391,0.037795,0.035262,0.0074444,-0.44821,-0.54238,-0.40792,-0.36782,-0.064916,-1.4973,-1.6291,-0.37656,-2.4741,-1.6324,-1.6237,-0.38808,-0.81786,-1.6714,-0.087396,-0.4266,0.045813,-0.28816,-2.0484
-0.65703,-1.3542,-2.6683,0.0098565,-0.45621,-0.40138,0.10342,0.10443,0.037733,-0.37753,-0.49338,-0.36635,-0.33418,0.11071,-1.1648,-1.5021,-0.27197,-2.1983,-1.214,-1.2015,-0.36792,-0.73782,-1.5933,-0.015954,-0.41857,0.08118,-0.28135,-1.8959
-0.61009,-1.3967,-2.6282,0.01899,-0.4429,-0.41021,0.21878,0.22636,0.1178,-0.2671,-0.40713,-0.36129,-0.24189,0.10937,-1.1993,-1.3503,-0.20829,-1.9684,-0.79305,-0.7961,-0.33918,-0.63327,-1.5286,-0.0071511,-0.38826,0.10152,-0.21152,-1.9351
-0.60454,-1.3564,-2.4934,0.02481,-0.29162,-0.25759,0.26408,0.27036,0.21223,-0.17873,-0.3364,-0.36427,-0.27028,0.18113,-1.2743,-1.2114,-0.11853,-2.0102,-0.93204,-0.93588,-0.31717,-0.53187,-1.4609,0.0028413,-0.32505,0.10488,-0.23144,-1.7353
-0.58741,-1.2869,-2.331,0.077406,-0.29428,-0.25423,0.31084,0.31444,0.24774,-0.11365,-0.27933,-0.30777,-0.2639,0.23556,-1.1843,-1.0978,-0.027498,-1.9085,-0.783,-0.78914,-0.2924,-0.45228,-1.3808,0.037775,-0.29725,0.10987,-0.21734,-1.5815
