-0.10534,-0.30708,-0.31803,-0.16006,-0.15555,-0.23921,-0.21984,-0.26226,-0.19522,-0.26982,-0.17459,-0.20264,-0.18125,-2.6202,-0.78909,-1.8547,-0.66345,-1.6291,-0.25471,-0.2364,-0.9593,-0.74782,-0.73891,-0.29334,-0.19346,-0.31587,-0.1696,-0.3543,-0.30118,-0.62867,-0.60091,-0.5317,-0.491,-0.48807,-0.14192
0.15634,-0.41081,-0.3624,0.012444,-0.053374,-0.17337,-0.17408,-0.20081,-0.22001,-0.38014,0.019988,-0.14771,0.026075,-2.4258,-0.76396,-1.6301,-1.0488,-1.1882,-0.18203,-0.23663,-0.79097,-0.80327,-0.8044,-0.25306,-0.17969,-0.19117,-0.2041,-0.55751,-0.23288,-0.5295,-0.39235,-0.36289,-0.44449,-0.53368,-0.030729
0.16767,-0.55644,-0.27225,0.015828,-0.07594,-0.047912,-0.054414,-0.077848,-0.1567,-0.3278,0.062601,0.12874,-0.045978,-2.5364,-0.93975,-1.4003,-0.82054,-0.93559,-0.16037,-0.22875,-0.78034,-0.78558,-0.79692,-0.22492,-0.13457,-0.089235,-0.37574,-0.69878,-0.24958,-0.55187,-0.53135,-0.28573,-0.24092,-0.52542,0.057235
0.36101,-0.74705,-0.16453,-0.15752,-0.055377,-0.016119,-0.020476,-0.043748,-0.12315,-0.18492,0.10543,-0.015038,-0.08211,-2.4748,-1.2442,-1.3657,-0.77159,-1.0395,-0.10849,-0.16685,-0.61657,-0.62563,-0.6141,-0.29993,-0.048875,-0.18459,-0.3306,-0.67803,-0.15089,-0.61963,-0.57369,-0.18834,-0.39979,-0.3512,0.018666
0.46528,-0.70484,-0.093765,-0.11285,-0.040993,0.043673,0.036356,0.034984,-0.072607,-0.1339,0.0073781,-0.2692,-0.1326,-2.3986,-0.59187,-1.3855,-1.0394,-0.98225,-0.082687,-0.10553,-0.42274,-0.40659,-0.39729,-0.33297,-0.023348,-0.065372,-0.19925,-0.61336,-0.14528,-0.33604,-0.31246,-0.060509,0.031669,-0.25463,0.090434
0.55623,-0.37206,0.0097323,-0.090333,-0.084988,0.12165,0.12085,0.16317,-0.078471,-0.15258,0.14698,-0.088701,-0.079976,-2.1365,-0.21335,-1.1882,-0.8354,-0.84694,-0.016117,-0.010642,-0.3015,-0.24294,-0.24364,-0.27433,0.093177,-0.044753,-0.030619,-0.48638,-0.05961,-0.24216,-0.21194,0.12569,0.054146,-0.11365,0.1528
0.77034,-0.26134,0.19751,-0.10261,-0.0037029,0.21912,0.2333,0.21896,-0.057666,-0.10916,0.52623,0.29968,0.26373,-2.0785,0.0024608,-1.1383,-0.60432,-0.84993,0.088837,0.12555,-0.15698,-0.20308,-0.19328,-0.17006,0.22892,-0.071187,-0.13024,-0.31006,-0.013283,-0.17289,-0.16375,0.078974,0.041227,0.076192,0.17326
0.81371,-0.17916,0.29487,-0.054253,0.055397,0.22506,0.24604,0.2708,-0.018249,-0.010609,0.60215,0.42795,0.42673,-1.8932,-0.24938,-0.96536,-0.77026,-0.46127,0.16559,0.19608,-0.05434,-0.092246,-0.080695,-0.079089,0.26399,0.038913,-0.15903,-0.31243,0.078666,-0.018717,-0.018012,0.2027,0.246,0.095667,0.19214
0.88224,0.042529,0.3769,0.096897,0.25324,0.17777,0.19125,0.27545,-0.0064478,0.016228,0.66861,0.46567,0.44453,-1.5708,-0.034851,-0.88587,-0.51855,-0.30393,0.24454,0.2508,0.11773,0.043722,0.04326,0.050533,0.25858,0.13728,0.37216,-0.1926,0.10434,0.024097,0.020613,0.3178,0.13801,0.059694,0.17435
0.91189,0.19638,0.35831,0.24321,0.34116,0.12159,0.12548,0.23657,0.043782,0.044813,0.74771,0.60216,0.4393,-1.1106,-0.11789,-0.68644,-0.23672,-0.24063,0.32193,0.33212,0.24093,0.11711,0.12281,0.19141,0.32924,0.13247,0.32037,0.023221,0.17468,0.10057,0.09891,0.37499,0.029523,0.03666,0.19983
