week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	30.24180543477432	32.22721472893661	42.706919641328014	47.038105730117636	11.56459299156717
1	6.154803827952731	14.12599421162406	43.591101000543425	22.50718538364688	10.874188120176873
2	16.87301998398287	4.370123925598671	27.82253726693287	6.341103621499366	31.130591114865247
3	16.602160577729933	17.141177900732593	47.52406749285999	15.520479032404582	10.622539229538205
4	8.76312457925128	10.31135098882362	27.547140418958055	28.17256404114415	1.4793616734323702
5	13.616959260148906	37.07784085149024	37.5231613576137	49.624228814561285	1.9742840358062095
6	2.3253957717525973	1.5983254806008356	3.105424057805312	3.1990349668455584	0.020158617489504697
7	5.85075950929627	21.166048124995832	15.798426845697977	40.074317083384784	4.86010017384451
8	7.670928346264169	24.056836523721785	10.786139696223614	28.639454064787266	9.734336849307985
9	5.124471155097511	3.1122251865793893	16.655037848490544	10.108583256883803	10.448999753129824
