1	1	3	2015-08-02 00:00:00	0.886110993102192879	2.02975909411909994	0	2015-08-03 00:00:00	0	2.55261679738759995	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
2	2	3	2015-08-02 00:00:00	-1.75	14.9458867758509992	0	2015-08-03 00:00:00	0	0	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
3	3	3	2015-08-02 00:00:00	0	98.84375	0	2015-08-03 00:00:00	0	0	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
4	5	3	2015-08-02 00:00:00	0	12.4560789614920004	0	2015-08-03 00:00:00	0	17.9329596459870011	0	13.1152999999999995	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
5	6	3	2015-08-02 00:00:00	0	5.05540432780979998	0	2015-08-03 00:00:00	0	0	0	15.5623000000000005	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
6	8	3	2015-08-08 00:00:00	0	0	0	2015-08-09 00:00:00	0	0	0	20.6771999999999991	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
7	9	3	2015-08-02 00:00:00	0	8.89843699336049987	0	2015-08-03 00:00:00	0	0	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
8	10	3	2015-08-04 00:00:00	0	7.21555449254810011	0	2015-08-05 00:00:00	0	0	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
9	11	3	2015-08-02 00:00:00	0	7.67968501150610017	0	2015-08-03 00:00:00	0	0	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
10	13	3	2015-08-02 00:00:00	0	19.0449032187460006	0	2015-08-03 00:00:00	0	18.2611851692199991	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
11	14	3	2015-08-02 00:00:00	0	18.6340266466140001	0	2015-08-03 00:00:00	0	20.2047606706620009	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
12	15	3	2015-08-02 00:00:00	0	0	0	2015-08-03 00:00:00	0	0	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
13	16	3	2015-08-02 00:00:00	0	3.31884700059889992	0	2015-08-03 00:00:00	0	0	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
14	17	3	2015-08-02 00:00:00	0	15.3698433265090006	0	2015-08-03 00:00:00	0	12.8087783306839995	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
15	18	3	2015-08-02 00:00:00	0	1.4226019978522999	0	2015-08-03 00:00:00	0	0	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
16	19	3	2015-08-02 00:00:00	0	159.1875	0	2015-08-03 00:00:00	0	0	0	0	0	2015-08-08 15:55:46.995147	2015-08-08 15:55:46.995342
