week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4
0	0.0	17.04251493745729	0.0	0.0	0.0
1	0.0	13.3476240296737	0.0	21.52585847667322	0.0
2	0.0	32.40810945737122	0.0	8.8891840219848	0.0
3	0.0	17.970652245782485	0.0	40.646486578471915	0.0
4		4.729247145054664	0.0	9.687345451927788	0.0
5		4.614513807801338	0.0	45.213872373217406	0.0
6		0.26867699184546223	0.0	2.397387963188029	0.0
7	0.0	8.005917653655613	0.0	0.0	0.0
8	0.0	10.742997479363595	0.0	0.0	0.0
9	6.792654397309051e-14	11.64330142066535	-5.481367287287786e-13	6.078178355074603e-14	-5.299339979107113e-13
