week	Spectral 0	Spectral 1	Spectral 2
0	1.41166690433632	0	149.56010910043017
1	2.932145157922026	0.30037997608124645	191.07952541906366
2	3.156422995049791	0.33658792394379655	79.51764366130402
3	1.4520078592610264	0.3461496436888809	112.99576342283922
4	1.2026262031636934	0.07012509231260239	207.11680025344367
5	0.9765148939219617	0.3610188673946255	286.9943176769302
6	0.49276252034455514	0.34115600519993894	183.2538286556255
7	1.1053518435779042	0.22971220449850926	142.0786410560031
8	0.970749438779988	0.3720805682602335	167.3849647655585
9	0.8688857832005641	0.3653143951257185	147.16693043136218
