Week	Adaptive 0	Adaptive 1	Adaptive 2	Adaptive 3	Adaptive 4	Adaptive 5
0	0.22208	2.89865	0.119664	0.0231419	116.984
1	0.337969	2.06177	0.055861	0.0329179	174.76
2	1.07492	10.6725	0.341302	0.440599	41.6121
3	0.266153	1.28926	0.0411849	0.0571462	87.6735
4	0.813883	0.652249	0.319377	0.0674173	203.845
5	0.578247	0.187682	0.154221	0.043449	270.285
6	0.48211	0.646595	0.174339	0.022533	180.717
7	1.53096	0.116013	0.268047	0.0395119	128.245
8	3.06703	0.0945624	1.2793	0.0412189	168.364
9	1.17497	2.59716	0.0911312	0.0217896	122.238
