week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	95.77473709178751	83.27234098793551	97.51255104993206	97.3832868224995	5.676465699026153
1	96.80705079129326	88.93640054394558	98.91542514820443	98.25818997786526	-8.632073735117272
2	81.49311673639627	-4.3467580998010815	92.59788044398653	87.87571667679923	28.75807139366361
3	96.46634088048206	80.38268549565049	97.60882983646465	97.71923222410855	9.336557185108195
4	89.14870779140733	89.25007123406742	95.43927660969646	97.68226294981983	-9.212046161156143
5	89.03751191551777	96.4223957116544	94.29908133568863	98.18325025144571	0.7028584128622769
6	94.30169609323296	91.44890039990142	95.3535043348733	99.25055250507455	-10.551459588739608
7	77.94258611932571	95.55029472146008	92.21556617240739	94.97658642630365	1.8173082335015447
8	74.02633981943256	95.54525030096856	74.18256855770193	96.35198320016718	-12.743743191843599
9	86.33760949109404	65.07152808618808	98.36536980151871	98.0515171542076	3.723446084622549
