week	Spectral 0	Spectral 1
0	0.0	18.207235487860725
1	0.0	14.701192289516243
2	0.0	33.58455266425128
3	0.0	19.59856066989287
4	0.0	5.625244561825132
5	0.0	5.351616300305665
6	0.0	0.3434261373722277
7	0.0	8.220353562000495
8	0.0	10.919266866178132
9	6.078178355074603e-14	11.924784823285952
