week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5
0	1.2356877741384427	1.2202044262641856	6.818386111015357	0.19146247807213002	36.989186969644805	104.51684824563034
1	0.7831043122903019	2.7105128541865664	3.817337685652358	0.5220122798167339	35.31393373637036	151.16514968475065
2	0.19173624718684112	2.8934564896004673	3.244044459039948	0.5995544293931196	26.515535595014427	49.5663273600633
3	0.3922291581103634	1.3869586556549427	3.6181027184579015	0.4111988472949637	31.343040393901134	77.64239115236865
4	1.1915526164897328	0.9830698405854739	3.0264979271393706	0.2896814548908222	60.82907638750447	142.0696733223108
5	0.5910754058154792	1.0099778612672825	2.3879121570528206	0.32755590004930757	39.993806285141346	244.02152382892086
6	0.16707340384754077	0.5789397475530336	5.497858125333856	0.2549787779914613	57.003878517377046	120.58501860906506
7	0.9552983016525878	1.1929451010785508	1.572952504023025	0.14211894699785477	37.89959547689418	101.6507947734309
8	1.5447028632732547	1.2843643208764206	2.178167598637792	0.05846568616380332	45.26474164970409	118.39735265394211
9	1.059175226560249	1.0924187437853137	6.949318144137266	0.14178143454097114	45.684633661621774	93.47380339904402
