Week	Adaptive 0	Adaptive 1	Adaptive 2	Adaptive 3	Adaptive 4	Adaptive 5	Adaptive 6	Adaptive 7
0	5.12415	95.4979	92.6901	63.0231	86.6837	93.415	77.1299
1	-8.27008	94.1118	93.2039	71.2042	87.3409	92.8762	84.0975
2	27.9363	95.4769	92.3413	-6.62831	90.514	91.0857	94.8994
3	7.09859	92.0041	90.0267	79.9631	89.9198	94.2175	81.7825
4	-13.4108	91.7106	92.0481	87.7856	90.6931	85.1893	71.4451
5	-0.660191	92.7466	91.4036	91.4626	79.5223	82.9961	76.2076
6	-16.6068	97.8954	99.4039	86.2001	92.2133	91.7861	80.1431
7	-0.0329553	85.1493	81.8545	72.4098	72.716	68.017	80.6775
8	-15.6136	92.2465	75.0744	85.2399	79.6174	54.3003	52.2659
9	3.52681	96.1238	-1083.62	60.6029	88.5821	73.7107	69.3185
