week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5	Spectral 6
0	0.0	9.27010737976362	12.36760885991023	2.0998513053649424	34.04452515707443	0.0	12.069198707377035
1	0.0	9.714764111890762	43.902647128890465	0.596719681649171	31.502152391130046	0.0	31.683818485194156
2	0.0	6.3810769851460165	25.397879827309055	1.6364165281886796	21.13799455458899	0.0	12.460159082951334
3	0.0	0.1596852432208205	13.733869625557002	3.438715511659132	11.634425975959408	0.0	43.50598700615513
4	0.0	0.6311055379100811	8.846898495308434	1.7005866148877027	25.378364570418952	0.0	23.124145219575865
5	0.0	4.505239813370508	19.390587487821083	1.7269674229640313	28.86051999209694	0.0	46.231748286724184
6	0.0	0.7002055170213706	0.11799030836998185	0.1450488292636338	8.936555674605668	0.0	4.969626307624296
7	0.0	8.476076878878471	17.087664627613346	0.9617810377448888	32.74907159942293	0.0	20.862115916798256
8	0.0	1.4403343365269887	31.770462274300094	1.0959841752445818	35.997474758764795	0.0	14.68087687431177
9	0.0	4.2931619681798106	18.71461718797647	1.430953969785925	8.484162355039182	0.0	8.868545200489802
