week	Gen 0	Gen 1	Gen 2
0	99.66435703607324	7.919784390831769	90.7800657550379
1	99.64171287434839	-6.225793066325043	96.6547867177726
2	92.52735873916244	31.36535532281643	12.657127533195903
3	99.81475918898633	10.614661221608266	90.19668256503829
4	98.32587652629125	-6.895524223346585	95.78365710448273
5	99.58488404059433	1.446884318121164	99.35942696372834
6	99.55101851040429	-9.41117530386363	99.50416403852932
7	97.14333351849305	1.996027869624728	99.70766074670058
8	92.19218612431736	-11.655034749408319	99.59017841492549
9	99.49681737949746	5.772170185797989	72.60756470358535
