week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	[0.06456937553639996, 0.04207176628693482]	[39.34307292891248, 39.248698546793804]	[0.4214894493582333, 0.20078322624242717]	[1.6419951620795015, 0.5862025658218002]	[1.4192587578572526, 1.0674759114651806]
1	[0.08082754369626188, 0.03039939433657929]	[42.97493241816224, 37.97966911976172]	[0.6082244345922461, 0.1781236741282708]	[0.9513258955886115, 0.5612330940005816]	[1.4319223203346354, 1.0335619042919468]
2	[0.08866340534414296, 0.02599620360854249]	[25.721377572412408, 24.617847227805356]	[0.4577938386806204, 0.17492064693585307]	[1.4281265874117581, 0.392827883379784]	[1.3728759633746401, 0.7822676796148187]
3	[0.0807157609091847, 0.031215125172297076]	[6.654253943683813, 5.996825038797368]	[0.4406348158980711, 0.21305545577343343]	[1.728217996614207, 0.47017911610991714]	[1.5189874616457377, 0.8686995618775724]
4	[0.06922901212317334, 0.02837135983325506]	[9.264218335749263, 5.101310381432455]	[0.30034932428158134, 0.21610793006555507]	[0.6732880456971482, 0.24913518812297974]	[1.452427515099382, 1.0924481259360679]
5	[0.05434912235009254, 0.02228222642607719]	[16.64926464658808, 14.398051131489751]	[0.19967990829661786, 0.11642292547177191]	[1.036344703244441, 0.3007471808614701]	[0.48435639117991336, 0.19393256321929897]
6	[0.16489380574696044, 0.09433542928865213]	[17.487037406200983, 14.025647966448304]	[0.3494955541040152, 0.2700371180042187]	[1.516647017422235, 0.4785732440033099]	[1.3829260376947374, 0.6544287697336149]
7	[0.0646150138662333, 0.02639156433811063]	[6.162858088190276, 5.774461535223452]	[0.2276951138510781, 0.12528417821284799]	[0.7097953255854028, 0.31294305924170773]	[1.1547059252630252, 0.5634688367259697]
