Week	Adaptive 0	Adaptive 1	Adaptive 2	Adaptive 3	Adaptive 4	Adaptive 5	Adaptive 6	Adaptive 7	Adaptive 8	Adaptive 9
0	111.899	3.09564	0.187658	7.22724	0.0813414	0.649514	0.285195	0.0480631	1.67669
1	169.49	2.65223	0.817607	4.45456	0.240727	0.77163	0.424751	0.0538114	0.412203
2	42.3142	3.09778	0.222782	10.2812	0.155085	0.017821	1.97202	0.100209	0.803251
3	46.8499	2.09003	72.0269	1.68237	0.126488	0.0720295	0.155363	0.0470915	0.538051
4	45.4272	1.83234	224.199	0.900003	0.143613	0.172295	0.261651	0.0542574	0.596286
5	16.17	1.09945	257.408	0.284564	0.119736	0.28501	0.293408	0.0774581	0.471033
6	12.7955	0.874918	167.743	0.161503	0.0434016	0.0537444	0.330408	0.0101665	0.514192
7	101.481	6.35174	21.0248	0.0197959	0.184573	0.895248	2.12845	0.112364	1.1999
8	163.142	8.13778	0.504853	0.0996468	0.17267	1.32906	1.88922	0.118982	1.99147
9	112.071	3.22921	9.54331	0.901031	0.11713	0.365473	2.92535	0.0720014	1.71315
