Week	Adaptive 0	Adaptive 1	Adaptive 2	Adaptive 3	Adaptive 4	Adaptive 5	Adaptive 6	Adaptive 7	Adaptive 8	Adaptive 9
0	-4.16361	67.7756	88.0122	56.5722	94.7601	85.6786	90.8964	94.722	70.0604
1	-15.076	73.5729	76.3013	72.2592	90.459	71.8972	92.7783	92.701	92.6334
2	14.6442	61.6171	84.2342	-22.9599	92.8817	95.5096	68.6574	94.5086	83.605
3	44.1705	73.504	-33221.8	70.7002	94.9344	96.11	96.6267	95.1908	92.42
4	72.6164	88.7614	-6.0125e+06	83.6448	94.4659	94.3864	93.7083	95.152	93.8812
5	93.8053	86.7098	-inf	90.5886	94.0448	89.8758	92.678	91.9721	92.4109
6	90.9861	93.9244	-3.87112e+06	96.6868	97.6082	98.2002	94.7744	99.2995	94.9981
7	14.221	42.9305	-2317.58	46.9897	81.667	64.8271	42.8639	72.7115	77.7094
8	-19.7313	39.4335	41.7393	80.5757	81.0644	63.9314	59.8688	85.4412	73.5662
9	0.574612	70.4422	-1359.72	84.4746	91.0528	86.9757	59.5675	93.1838	70.9321
