week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6	Gen 7	Gen 8	Gen 9
0	91.91680445325434	34.21728354398702	58.55592906560718	79.45468526320221	79.48720547210704	-2.2967550554984815	54.47206414108246	91.4778349451022	94.63446670338884	90.18290879688224
1	88.88921291607411	60.74602489628661	72.2517304766118	70.99001400037079	79.0191624420271	-11.678947618568419	88.83548899319014	90.64559012268982	86.17833347079036	91.96873968473572
2	78.78270724899124	29.060401009817273	-34.80998778318101	91.76187201400602	73.52720926975945	19.965948788621084	76.99286874161649	93.52160353533068	88.67040864425147	95.83555264368115
3	92.49483718016305	68.44306662719762	70.65083629388316	90.85273517719688	72.15085705258026	0.822613429695104	83.70085348018762	93.37018445849279	84.62580972714755	94.12682882541628
4	94.14785795142163	23.817158646763236	81.25169259519718	86.85183324391186	69.39761245465063	-18.082798407592644	79.37177732068466	93.52215320964031	94.87981021709885	96.24860990720519
5	92.79187666893696	55.281807161048334	84.27895015104275	72.56263948980983	61.72521027768381	-2.9445082535060068	75.08402618371031	93.75698024169365	94.61801581445715	85.53505073181762
6	95.12753573829164	50.024433907378395	83.55431324621789	87.17913012029416	51.140073058468104	-19.764145186293668	55.823328011823726	98.7183668706493	98.99962711476753	96.67584781303138
7	61.036859758908776	15.171796483721831	45.49744621267408	42.15271494108268	58.037136232413125	7.202019425259719	71.25369240021598	84.03059868584006	-990.9548361093528	78.45127518247092
8	75.30033494104137	46.87717327594781	84.7564658984143	67.67257784868015	30.477522225078964	-18.3935901662391	83.20127439224589	87.29387809414679	51.32511831828167	76.26912017941177
9	87.20605846495927	51.28276146033917	38.74173898840911	90.68025254418781	48.90614221346546	-2.996269806315633	81.48743362618973	-187.41176335634015	91.14426086107626	95.7120735641648
