week	Gen 0	Gen 1	Gen 2
0	0.018121125726233457	118.32292846182035	1.5741201351312128
1	0.026686724075193645	176.22766047170754	0.7013075025344117
2	0.5684102057908026	42.21522042670267	12.137990811166055
3	0.01094749534322138	87.93487965406622	1.0300102762062404
4	0.11201052690309536	204.01783774078547	0.45712002389851447
5	0.022210947725786925	270.7582424710279	0.0528344330154503
6	0.028992677730136234	181.87834721940473	0.05650804916103937
7	0.15469905927644026	129.48796265086722	0.017169424263857824
8	0.5468165152521633	171.50312424142444	0.033291672469312854
9	0.026992775065150517	121.85822649352414	3.756530928326078
