week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5
0	0.5861782450931001	5.378345572514744	0.1905378420005116	0.28872114203584703	0.022815548506425212	114.70951471146861
1	0.4195538153838422	5.127057644545327	0.23511183893514598	0.09806717116450984	0.06837365371586704	171.87636245017825
2	2.2057260204156934	10.523263184232313	0.26230514774235664	0.836458865094661	0.04807288647579519	41.51506191053742
3	0.20896370852352122	2.251304034382653	0.05186658718272732	0.45600979360298904	0.04883267664940237	86.95575850999023
4	1.1263133712625442	1.3052450776303388	0.04680291416658298	0.7975056204168007	0.08444996657200082	202.07032138814273
5	0.5844648532393838	0.4734478808896383	0.07978778980405336	0.30705667591280006	0.04990130350418504	270.0153951439784
6	3.3191383195306576	0.934368507554782	0.004352818219149788	0.24054595758501665	0.028783045127264897	177.61700184754335
7	0.9015902708249033	0.5803311736031336	0.10334335285931799	0.13473373038021288	0.05504057142626082	128.66510890956334
8	1.9483566126195537	6.159767355287833	0.45863041830888074	0.4054994436696248	0.036933861072210146	163.84775731771097
9	2.293428089611177	5.117004818306222	0.051208525549445195	0.15506642668275902	0.04881628552609428	118.84640255303152
