week	Gen 0	Gen 1	Gen 2
0	99.7871523247872	7.790019168799667	91.6927589333414
1	99.64911221105184	-6.236275070772013	96.41274357431683
2	93.04250343103313	31.363023798567202	12.391534896869809
3	99.62126993898917	10.600992790489183	90.30369254052142
4	98.23862411423873	-7.371812045022788	95.7739366485881
5	99.61860760629688	1.4411629518066147	99.2926091330163
6	99.53596500934478	-9.402592064884724	99.4873721716785
7	97.06929985680566	2.005318938399069	99.65385101133039
8	92.28369335264814	-11.656264492159261	99.65124462026169
9	99.80076369001694	5.823444958471403	72.07134882800777
