week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6	Gen 7	Gen 8
0	-3.7749533968652513	67.33621591793147	87.41404463819936	51.23718989768379	95.35072592790065	85.55600374621804	92.73556805686304	94.58131868840691	70.1519075583131
1	-15.252115600494259	85.50107309278911	77.22682400959208	71.43806586142156	89.71148990232871	71.90971686922367	91.53080899175883	92.71167748400629	92.49585941742488
2	14.201029481671194	56.869215010081476	83.62938145058209	-18.93356380449171	93.04968035473755	96.47609219247909	62.148580910634664	95.00941798617963	83.8752251370189
3	45.54447174196154	71.58631638721361	-30028.88781072079	71.28972364024735	94.83888406662882	95.71885420454743	96.57129828342677	96.17154048095112	91.68543036922424
4	72.55077254726497	91.28060268650302	-5995555.010297922	83.41742456628111	95.701416865191	95.28633837621577	93.72172532611435	95.1045547817559	94.26451025786763
5	93.29583154608513	89.24619834672498	-Infinity	93.63121114497234	93.32707860052744	91.81588841369074	91.81234262993281	92.02640068136762	92.90414410120911
6	91.03753034493398	94.47476216717632	-3874665.550531161	97.7984099606059	97.7106010492388	98.3029234628035	93.7514918017237	99.49483514043298	94.76558964570802
7	12.79824995778214	56.857033558247906	-2371.353045557923	47.39272330241042	76.63561053861892	74.24896217312622	62.921391299449866	57.020410794715126	73.39306210302689
8	-20.17136736171482	45.11547109696977	53.93400929908234	78.66811886856111	83.97691790315251	56.31870215210915	45.95162622610296	81.20826373979273	82.78529095543328
9	1.4373235172766106	71.93201824013018	-1407.184487716088	80.71514129004767	90.0284258730364	89.59325027215267	48.23516325062569	93.58142758678568	69.40715226499321
