week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	3.4272638215725344	10.64237146523152	2.5686918399014544	0.7626988774313768	110.04210749596723
1	7.36188364431743	15.632031151306137	2.837146081670703	1.6788859794796824	143.55296518775538
2	4.9056733889012385	9.802732382305656	3.1287364872160133	3.222127137944712	40.69043691651234
3	4.796056209230933	5.827444727105799	1.606806239695965	1.8496547651113708	86.48043912073013
4	6.371333484126541	6.04846273675961	3.8599214964997373	1.7145014566177412	184.1823167278958
5	4.777751281679585	3.1692109764833347	2.189636717115974	1.0091365056473212	266.8811958923328
6	6.8454683323523575	8.094773152513731	3.021243189833214	2.1309488596806965	163.5006391533159
7	6.92067895577636	1.6639373617172701	2.4548391129219507	0.38940692827272283	124.05007751178414
8	9.690671125777556	2.059878434087075	4.394543906168309	0.7706733444333747	134.95960438384907
9	9.324632300483195	6.741330122722999	2.5576601127039726	1.1429042062041193	113.97584274255428
