week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5
0	7.796343981111605	21.817075364436022	3.829279763697306	5.362141019884	1.5632874985784042	110.60364837705833
1	9.746756742077856	23.696091646964604	4.614947443826882	3.812943049386689	2.5877838618796325	149.85352780892867
2	8.581026103929851	10.48879668505343	4.209512467241723	2.8596635856111003	2.430899719546886	54.44075601891535
3	7.6697526021803455	8.341304866128212	2.5072525317510825	5.567656413796456	2.6977040336348193	88.01025047829728
4	8.999362150594685	11.703280093058595	2.5892726287328074	9.778468960476793	2.8888295513553572	172.43033816470268
5	8.45054314265822	7.636277304945224	2.540913588911353	4.809972560593057	2.338359003880935	262.5557858372565
6	14.135303768587697	10.80864570882617	1.3481326629734305	7.383556608544101	2.364868484058107	148.04723994817914
7	8.789941608017784	5.531250253808565	2.1656113085131867	3.5548562996950217	1.0960699285501931	122.27597570549312
8	11.692479295318691	9.907134499164144	2.733223189642132	6.621907159392606	1.2224624008733755	136.55058822820763
