week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5	Spectral 6	Spectral 7	Spectral 8
0	0.0	0.0	0.0	12.20792223178211	0.8801740116224754	0.0	0.0	0.0	15.068647015714506
1	0.0	0.0	0.0	11.223907876180855	5.937403525032012	0.0	0.0	0.0	20.375444144215212
2	0.0	0.0	0.0	31.725454636334483	2.4746671467321972	NaN	0.0	0.0	8.702875889258213
3	0.0	0.0	0.0	13.549890954149419	3.8436432582920563	0.0	0.0	0.0	21.544393732985217
4	0.0	0.0	0.0	3.0562796428242422	3.6595150069133395	0.0	NaN	0.0	28.008616361515802
5	0.0	0.0	0.0	3.564629969798714	13.666640424666054	0.0	NaN	0.0	35.286589434492264
6	0.0	0.0	0.0	0.12937668938633948	0.5971484706145302	0.0	NaN	0.0	2.1298510206546517
7	0.0	0.0	0.0	5.553486332200226	20.612378086165062	0.0	0.0	0.0	32.02107762716319
8	NaN	0.0	0.0	9.491781289993126	19.958787799366075	0.0	0.0	NaN	24.23193416492034
9	NaN	0.0	0.0	11.07743172817492	1.0022829053834887	0.0	0.0	NaN	13.582390098078676
