week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5
0	0.0	6.313261563298256	13.852240056151633	0.0	14.446231575131584	1.2118178047516055
1	0.0	25.174303413710103	15.913433136008356	0.0	53.01869363670607	0.36688153955974606
2	0.0	10.567358369765152	15.564975098800943	0.0	30.919564497186947	1.401753137064166
3	0.0	40.6906663774432	18.423058621854192	0.0	15.147840796945678	3.1571963612151186
4	0.0	21.056425867961696	21.927036648918293	0.0	8.428828515297091	0.874779436715313
5	0.0	46.537970319868755	21.439974574575867	0.0	17.17538547882542	1.675056690702947
6	0.0	5.559534204540266	3.8068025890315353	0.0	0.14427383555214754	0.15441971425802134
7	0.0	3.434577565756026	40.79646286529966	0.0	16.418426256537227	-1.67760868926326e-13
8	0.0	8.792676796381398	32.30831423817156	0.0	25.420744637694355	9.602143559231918e-14
9	0.0	8.752300428442988	4.352670623248782	0.0	18.284578233331004	0.0
