startDate	endDate	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
2015-02-12 10:50:22 +0200	2015-02-19 10:50:22 +0200					
2015-02-19 10:50:22 +0200	2015-02-26 10:50:22 +0200					
2015-02-26 10:50:22 +0200	2015-03-05 10:50:22 +0200	0.0		0.0	6.504050424234187e-14	
2015-03-05 10:50:22 +0200	2015-03-12 10:50:22 +0200	2.9854903971475405e-13	8.573674599985181e-14	-2.3515647814193213e-13	-1.2720677323561613e-13	6.687375633611527e-14
2015-03-12 10:50:22 +0200	2015-03-19 10:50:22 +0200	1.1029044151317058e-12	2.1391278387805722e-13	-5.895416367969484e-13	-2.733310360055674e-13	5.32992514173996e-14
2015-03-19 10:50:22 +0200	2015-03-26 10:50:22 +0200	6.653845164462351	5.277348145946295	9.35889231326869	1.5263646202346344	9.933474988702764
2015-03-26 10:50:22 +0200	2015-04-02 10:50:22 +0300	42.80010624218157	36.40687439063973	32.84950916623287	8.370526206235034	41.36697186007761
2015-04-02 11:50:22 +0300	2015-04-09 11:50:22 +0300	19.099370187365608	36.11858029662193	12.447140365886352	22.051462705247747	25.86949034619031
2015-04-09 11:50:22 +0300	2015-04-16 11:50:22 +0300	27.194817927309217	27.150278569590107	3.224285629427749	26.70230629446475	7.8541903386300405
2015-04-16 11:50:22 +0300	2015-04-23 11:50:22 +0300	18.870627856251605	28.650154188464157	10.05096881684388	1.4745813078523693	40.09786152001637
2015-04-23 11:50:22 +0300	2015-04-30 11:50:22 +0300	32.02048115402642	29.34251022594307	19.157655883591318	1.5351163148402667	31.240141385455626
2015-04-30 11:50:22 +0300	2015-05-07 11:50:22 +0300	34.380751206506076	20.91898782717704	21.68556248304764	1.7434115569979967	24.209862335302983
2015-05-07 11:50:22 +0300	2015-05-14 11:50:22 +0300	5.865776982147521	0.9926527380834802	-1.4752150931746952e-13	0.2286490953565593	1.5092504986418702
