week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6	Gen 7	Gen 8	Gen 9
0	0.2967148484749688	3.0197034711222024	7.912407161020858	0.8408370418338849	1.0020163753780342	111.14547501019486	2.4740141212382354	0.05743753913845944	0.05942722770015965	0.01515528744040993
1	0.5005751855296144	1.886306663241231	4.533971035570566	1.1779946234651353	1.3983582116525255	169.63537413504173	0.5811795769096093	0.0756645225091074	0.23589850441145926	0.05153890922787878
2	1.0694590025323754	3.0091703275198514	11.307253600051483	0.15724047251830978	0.8056420049346025	42.743180185917055	0.9331934125819293	0.07075506051081998	0.15622895535178188	0.018229992372791385
3	0.18851464451506683	1.8235421580033535	1.8083798086255711	0.3680590040253486	1.6107341090436553	84.02193825310448	1.1514907499343339	0.060619993573019455	0.10274667916166311	0.03674521685507506
4	0.1446170492362502	10.571880291960401	1.0290013485732015	0.6429028944509447	3.5871825112759472	189.67292820533262	2.1490135119135347	0.05459321736989244	0.04435591720459102	0.015303271682391506
5	0.16009383760737322	4.720420850778304	0.39850368852917967	0.7843397561774932	2.584356690756934	263.47756994494705	1.1148011410021148	0.06598165045048013	0.029313175154926426	0.027508537392842872
6	0.09618916128768226	5.688703541806819	0.8035052213976583	0.41607306263803284	4.35965106302461	166.66435640425976	4.218541093657569	0.007300441181091659	0.005676311241271854	0.011138482757870743
7	0.3097521689802769	2.964748483927175	0.025623602904691206	1.2102183643578406	3.335550199118847	114.96721032702175	1.3672247923925211	0.05870352029872871	9.100537185303919	0.057895498081895536
8	0.14751362192767933	3.1938647840588703	0.08390558465019786	1.049798471311134	8.876101346133973	162.58265736896894	1.2454405856841966	0.052651506664557264	0.3697483848432627	0.07012361687677428
9	0.12489881318317911	6.690480140183571	3.243561874344637	0.27190452002954973	4.3238791202334514	112.38555861759805	1.0190555451198273	1.6715585297126183	0.11276989697089072	0.02623777936804954
