week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	97.87660090557603	82.98068157866504	96.47096155968265	98.17789954439309	5.715667431000136
1	97.01512863953265	88.09603745931358	98.44288042018256	98.70397047294954	-8.46346637871314
2	82.46126076668995	-4.8387880754818955	91.47890347673481	87.76543577101631	29.873551287417964
3	95.03165344641585	82.37266716582826	95.97339609480436	97.51078959887329	9.350810940358839
4	84.93542914426284	88.33613092689973	98.44778955116465	97.03913331982889	-8.565295203148558
5	85.50056653455668	96.03785947024399	94.60341663297496	97.9451807177515	0.7977055839098048
6	94.39102901250351	91.74614653439042	94.12395762911416	98.89226494542372	-10.541825338185037
7	72.20346214440134	94.1191382693805	95.12445906194462	95.1855098962331	1.998338551514943
8	70.90906945739272	96.44884939088199	55.80845973986659	96.20788865983424	-12.172571442363763
9	88.20042271274426	62.498924841241966	96.75381330314093	98.42925270808837	3.8622199027152186
