week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6
0	3.8906953177949184	96.06557932583584	91.75086873745641	72.05874509274712	86.17404087521655	91.796109137982	72.70276120896499
1	-7.286434105555517	93.322126204716	94.98008624283476	61.62578988450797	88.37734057855941	91.62821290513557	89.81066231331467
2	27.578804571871135	95.8539519950697	96.35589776532285	-7.858880834620689	90.08662426084821	89.0342796295294	96.13906586268763
3	6.871611841720679	90.38495035887895	83.52378354045484	81.31182645105444	91.83555394470395	94.32476020628505	83.67208402023522
4	-13.28228149822781	91.39050885016282	92.5506124066068	87.14760377634497	92.99882504564478	85.71724928153384	66.98698549305198
5	-0.6044755640977544	89.9403424408773	90.19563266593353	93.70481155984812	87.56409670677148	81.75468090465004	69.1639195970089
6	-16.378385778628278	96.29060496205787	99.6145078491807	88.0651204045473	92.19568357135988	92.9470473994355	75.21684108103635
7	-0.3335378538450052	83.9686424588527	83.14257023209989	77.33774917270331	65.97364033038326	73.32808245245138	81.55113783024423
8	-15.753108866524471	93.35467826780697	75.49423594894954	86.64024580070749	88.07693010849303	56.718784747507144	51.70015674185231
9	3.820459542599877	96.37800415491382	-1116.2747701459966	61.16055375374313	90.77195244947725	77.23668113520482	60.431312961220215
