week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	0.28878028801073186	4.068532040306553	0.07147361500120315	0.020834040443067504	115.8430319875636
1	0.35440000547977474	1.7219043004663794	0.036293295765733896	0.027307130739954298	175.04986423255372
2	1.066278640215899	10.642037676312949	0.3322991439508511	0.4450818523208374	41.86077871239767
3	0.34691024890216166	1.2679694491961946	0.04708227308931326	0.0783056734392445	87.65978627507197
4	0.6712232251730265	0.564609203752023	0.2224778316378058	0.08780543533573588	204.2852358016817
5	0.5070474130672755	0.16439867945318912	0.11468840604604578	0.04501896417510233	270.3633352702499
6	0.5926663229528972	0.677281119942255	0.11715908188226544	0.014753592323113487	180.64526276708324
7	1.5208083659759821	0.10435345568884298	0.17899249427284344	0.042963610262838146	128.38223537809162
8	3.016637486055139	0.06981713890066077	1.185277806128285	0.04617418572594298	168.51037990154023
9	1.2497110942647012	2.550284515200998	0.1108095243321062	0.019430240732165323	121.96824642938593
