week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5	Spectral 6	Spectral 7
0	0.6367315174589043	0.05876870877219578	21.664889557325097	110.16690278096627	4.457082273650421	0.19146247807213002	6.040006653714755	1.110931129808169
1	0.3120258613925473	0.07886783336928482	12.473517709627117	157.2741692205709	5.944302815285926	0.5220122798167339	3.28239417185058	1.9680727789720773
2	1.2229225386605735	0.01192048470172264	15.871259502677589	50.354320952963036	3.587117665374528	0.5995544293931196	2.093365550406025	2.41353358719258
3	0.9452296327768561	0.03136578327474583	22.020990888502425	78.18122375373173	3.327162767561621	0.4111988472949637	2.253125817737594	0.9738570965255933
4	1.1901490062541358	0.11466601545491356	44.716729338934584	147.2476069458629	4.4249101619055935	0.2896814548908222	2.0741211699310433	0.7982787328179579
5	0.9139272056873091	0.043466352434429784	25.20512883567946	245.5624645232234	3.6995181403829225	0.32755590004930757	0.945602575448909	0.605492641438225
6	1.5286469730711882	0.04205592789388354	45.11577483257432	128.85097904135387	4.002137866641622	0.2549787779914613	3.6130253597332747	0.19572781445921172
7	0.5024293942338645	0.04338478296303708	23.273800713916046	107.56808655416131	3.1991013616896815	0.14211894699785477	1.1638736574597033	0.9129299904972639
8	0.40139033587265605	0.045742346622665464	20.57441090763797	127.95357849464108	5.7300628646509395	0.05846568616380332	1.9546039524876484	0.8665414059935213
9	0.921147194093634	0.07332574625345673	27.516790766618385	101.15918970881029	3.4185108958805266	0.14178143454097114	6.158796530866496	0.6537786024061385
