week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	87.36699604275333	33.270158649635256	-54.59867130325231	33.85474521733006	-100.2353457341175
1	84.40695765533593	82.33288498951744	-156.47279244937346	34.5214507460431	-201.8676947973307
2	56.045164000764245	75.3335646556784	21.763569856858254	23.762785602373377	-34.11504164800462
3	86.37555890073976	67.7520184134071	-70.83791406763083	63.09172468744092	88.33036957507903
4	81.65652799936304	71.37744147674219	-398.6851468474028	91.16988744516237	-51.12451874816573
5	-12.543496411018069	91.39022158228883	-204.5155412932047	83.35001610581895	14.25649324476675
6	69.2250259621521	74.88172497473337	97.75532117033238	82.28698244522317	-163.1532913257552
7	15.205370662090022	75.64143954523514	2.6395957840275543	49.38604619612117	92.40984073588062
8	73.74487468166416	99.43591429000014	11.352705673605511	30.075746557515913	95.32926967082403
9	44.953730734752675	96.67334745585985	-81.6199083765204	45.20294068891969	60.387501554320586
10	70.77071293819648	85.9675222527104	-19.197961712750804	47.41630749222175	54.787887684104696
11	78.58270253966371	88.08335466420782	38.494548467765455	33.58597828427641	13.536579772032734
12	64.66669534988337	69.30146466721997	-71.11201690347264	49.95611235518914	-8.394562190765981
