week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4
0	0.29323402651950714	149.56010910043017	0.19146247807213002	0.8682016909724806	0.05876870877219578
1	1.1114061740113312	191.07952541906366	0.5220122798167339	1.5202388468059445	0.07886783336928482
2	0.9086666262193042	79.51764366130402	0.5995544293931196	1.9728693786794356	0.01192048470172264
3	0.14903348873017652	112.99576342283922	0.4111988472949637	1.2065593836500237	0.03136578327474583
4	0.0	207.11680025344367	0.2896814548908222	0.8684038251305608	0.11466601545491356
5	0	286.9943176769302	0.32755590004930757	0.9665115088328498	0.043466352434429784
6	0.0	183.2538286556255	0.2549787779914613	0.5368838196591506	0.04205592789388354
7	0.8696598093411838	142.0786410560031	0.14211894699785477	0.2799005087743309	0.04338478296303708
8	0.8665414059935213	167.3849647655585	0.05846568616380332	0.3720805682602335	0.045742346622665464
9	0.6537786024061389	147.16693043136218	0.14178143454097036	0.3653143951257185	0.07332574625345634
