week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4
0	0.29323402651950714	124.07130516651193	0.19146247807213002	0.8682016909724806	0.05876870877219578
1	1.1114061740113312	165.57494876844225	0.5220122798167339	1.1929943841350878	0.07886783336928482
2	0.9086666262193042	53.747478665626204	0.5995544293931196	1.7974973890952324	0.01192048470172264
3	0.14903348873017652	92.6896877256537	0.4111988472949637	0.7161353857134234	0.03136578327474583
4	0.0	197.32173489052911	0.2896814548908222	0.7842785466724085	0.11466601545491356
5	0	273.75092526012304	0.32755590004930757	0.5295142287567072	0.043466352434429784
6	0.0	182.76146778135194	0.2549787779914613	0.524012631590338	0.04205592789388354
7	0.8696598093411838	130.70394204962656	0.14211894699785477	0.2799005087743309	0.04338478296303708
8	0.8665414059935213	149.4028022199609	0.05846568616380332	0.3720805682602335	0.045742346622665464
9	0.6537786024061385	130.0318411296978	0.14178143454097114	0.3653143951257183	0.07332574625345673
