week	Gen 0	Gen 1	Gen 2	Gen 3
0	83.84103729570748	99.34693847908133	2.6046243364203043	99.01773666563103
1	95.78324567741414	99.12825598919468	-9.591131175817214	98.88341217545823
2	1.1252058511477316	93.82112765771652	32.89937584888352	99.07623369363776
3	88.5260903821783	99.56482473428089	10.471354498706305	98.90835702359574
4	94.76144412478952	98.43210897972254	-9.590487251849169	98.40213511143943
5	98.56105383942116	99.23776295646992	0.4563639632091548	98.62433719247852
6	96.49747436950953	99.41612910508059	-11.121243663687276	99.1065641395051
7	95.54721007932734	98.24471216033177	1.3477982218759306	97.01747410791192
8	71.14024496767605	97.91986798137626	-12.204761034932334	97.81569216712788
9	76.80627085433284	99.00474807823825	4.067616762678796	97.86450313369117
