week	Gen 0	Gen 1	Gen 2	Gen 3
0	83.5230833233671	99.48597410075939	2.6145103439100854	99.24759548994795
1	96.41677383169824	99.17467027119531	-9.66934103123332	99.39872762181167
2	1.369902104086259	93.96478041461965	32.82030466197479	99.00827524808959
3	88.93108143611039	99.51907657713231	10.39730394777644	98.10897220134383
4	95.6651546604394	99.34089375342718	-9.641777300743204	98.11268629031392
5	98.96415779998998	99.54360546027974	0.44583364923476604	98.61385215198199
6	95.40813603044501	98.57636121143017	-11.011908685584752	99.2729770561061
7	94.71982347854721	97.99858572055234	1.3980669699833155	97.50443116921747
8	73.51505826507088	98.77874995871981	-12.39215227764489	95.81815140149274
9	80.9398716165038	99.15463749530936	3.461909318785154	97.60129940734015
