week	Spectral 0	Spectral 1	Spectral 2	Spectral 3
0	0.0	9.319134998447433	13.489718165591643	12.760849318026501
1	21.52585847667322	10.588494116811745	12.36702941937647	17.039880823580788
2	8.8891840219848	10.225570291670733	32.20341214781152	10.901692855582798
3	40.646486578471915	6.634271603205888	14.999008456850898	15.978558074142779
4	9.687345451927788	0.0	4.101177324081001	21.30342707744808
5	45.213872373217406	0.0	4.420236095289438	26.307504796832433
6	2.397387963188029	0.0	0.15124622163384477	4.497941324369674
7	0.0	16.684222768410336	7.41613822936162	33.51351134280836
8	0.0	6.663964511775291	10.409979115426909	25.836077961187026
9	6.078178355074603e-14	1.2137550535217394	11.701880353547049	4.40301665413536
