week	Gen 0	Gen 1	Gen 2
0	99.64119168323464	7.784573209228464	91.7824301909295
1	99.66265780417307	-6.157653918315928	95.83678312811196
2	92.4581018611142	31.371447583576845	12.701052737593896
3	99.80539800074763	10.6872384761034	89.56685281389977
4	98.4375684725681	-6.90198836780643	95.74910301563115
5	99.69271570722199	1.442613962673395	99.34021174674167
6	99.73334999095762	-9.403717535935412	99.40716249871254
7	97.12758898642056	1.9999226393076934	99.54399731863833
8	92.25644926439465	-11.654277529246881	99.56078029538277
9	99.58337930783799	5.790516315113801	72.50324548346427
