week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6	Gen 7
0	0.3994952035259628	94.54984396140193	87.10021229212357	94.7834514718567	67.81633415286696	89.98140295552192	75.38243575950321	94.05899757446178
1	-10.60636521011462	94.45642663281052	84.96217339906971	89.36244246173894	72.84480878504998	93.6357256018782	94.96519011965316	78.57466060205415
2	26.361541673914136	96.61356121825153	94.7205116745922	73.87258013366463	-24.69213355546171	94.32257434811551	82.39882544902521	87.18123024289784
3	4.99090250637071	93.23864224990989	80.03558937355977	90.51057519465073	76.73171113681703	90.50361094853643	85.8756675477253	89.14578334006896
4	-13.89496489269626	90.95341970358733	70.10868823473214	80.02382991805634	81.55962628930544	92.95221781873413	77.81247511835024	94.5856774746785
5	-0.9502993036461149	92.0469257034926	70.55899497714753	78.82304276279137	88.51321337741696	93.76767408798551	87.11582696400684	86.72703979891448
6	-15.008550685558422	95.85932208021613	74.99452642637114	88.30979014634208	86.49927525337965	98.7305617812046	59.51349818927556	91.67209935609193
7	1.839963680796703	71.95238639642534	68.91215293766237	65.09800721061909	77.65501844756163	74.38039412736784	58.379739298764896	15.555895251504209
8	-14.803452459450641	91.88753334058183	37.11061586785236	66.66424113291522	86.55818495721378	87.33589260534445	83.96370893367288	84.52513965155582
9	2.881354572798739	86.70617710052178	73.7863102485147	67.07577495995963	43.268479683645886	-197.07731826375442	80.23837673601574	84.09516085311671
