week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5
0	92.12537722747017	61.77480834522048	94.78253129154326	95.11191783139647	97.93335045556344	-1.2879335833464414
1	94.42122930420733	82.09159709268181	96.48111451372387	95.43942728049143	96.01502471993622	-15.107607206159162
2	74.06517255784902	0.6584239386224716	91.3403678982684	69.42671528423234	98.48946656418592	22.84841633877276
3	97.83341445035741	78.50337962304738	97.72422566466679	94.8601443027711	98.07999512127842	0.402726260320371
4	84.39945044901303	92.7934340940574	97.28431446264267	91.81457023073253	97.65602496291291	-17.705187212293218
5	93.86677003150147	97.65609065256898	97.64462075465717	94.5894341570786	97.43460290170535	-3.0418841680315323
6	78.48359302074903	90.83842093823455	99.66465751146465	97.46201407870907	99.04184399168338	-20.11234365086159
7	89.0624791301011	88.64583027882958	94.63021470260693	92.61446146776072	95.30452635447655	-4.977400815555513
8	84.51620260005001	42.22369088033171	87.79378292144881	94.73350812734624	96.71520813572427	-20.52242930144413
9	77.33633586075874	61.14699038758731	96.64216076621321	97.47447882245778	96.70439214804671	-3.626120003270381
