0.02409,0.20394,0.34693,0.45886,0.42945,1.7808,1.4991,0.13835,1.5451,0.4805,0.43585
0.021756,0.15086,0.47798,0.43901,0.058483,1.7717,1.5719,0.13376,1.545,0.75852,0.58052
0.020459,0.26418,0.32608,0.27865,-0.54612,1.7674,1.6652,0.12906,1.7151,0.84275,0.67161
0.012728,0.23856,0.20038,0.52745,-1.096,1.7694,1.6652,0.127,1.4566,0.71615,0.69784
0.014166,0.11769,0.32299,0.43557,-1.4456,1.7606,1.5699,0.12523,1.4459,0.46677,0.73099
0.014953,0.2936,0.42084,0.97457,-1.4743,1.7593,1.7754,0.12717,1.03,0.195,0.73114
0.01793,0.28635,0.34688,3,-1.835,1.7439,1.7472,0.12527,0.12425,0.020901,0.35942
0.017761,0.29264,0.7844,3.8393,-1.9423,1.7424,1.8293,0.13414,-0.31683,-0.36031,0.2447
0.015566,0.34259,0.70385,3.0236,-1.621,1.7517,1.9626,0.13741,-0.30209,0.54586,0.6933
0.013385,0.37048,0.41601,3.2102,-0.92042,1.7402,1.9121,0.1268,-0.25255,0.46797,0.44843
