2.7472,1.7986,1.4945,0.097767,0.027265,1.551,0.18195
4.0249,1.7909,1.4171,0.35088,-0.0023714,1.4873,0.82845
5.358,1.7828,1.2802,0.59165,0.018643,1.3706,1.703
5.0545,1.775,1.1747,0.50402,0.016011,0.46892,1.6356
3.8785,1.766,0.96265,0.29286,0.041842,0.51982,0.96639
3.05,1.7577,0.90142,0.64994,-0.0088633,0.21632,0.75319
3.1614,1.7505,0.70796,0.77315,0.11765,0.16334,0.64537
3.525,1.7422,0.70597,0.65757,0.1371,-0.018641,0.55038
3.1008,1.7343,0.62163,0.47648,0.12186,0.19995,0.57934
3.2882,1.7251,0.62308,0.5354,0.052475,0.40056,0.8405
