0.095488,3.6168,1.7565,7.1316,-283.54,0.51013,0.58327,0.21036,4.1698,0.26033
0.080449,3.717,1.7533,6.4462,-255.15,0.365,0.26006,0.15582,3.1194,0.35656
0.06671,3.4763,1.7502,4.4282,-199.76,0.31683,0.00099191,0.16362,2.1191,0.36826
0.050681,2.9037,1.7468,2.9517,-125.02,0.24384,0.076441,0.12122,1.5424,0.47198
0.035669,2.3167,1.7425,2.6044,-69.058,0.39344,0.11454,0.17439,1.379,0.44598
0.035783,2.0241,1.7381,2.789,-37.687,0.089503,0.24015,0.11739,1.4536,0.37921
0.052335,1.3783,1.7351,2.9045,-16.938,0.36242,0.096515,0.1927,2.0423,0.46976
0.044549,0.73213,1.7311,2.5853,-11.551,0.1428,0.19275,0.24522,2.107,0.69707
0.055443,1.1226,1.7272,2.7468,-6.6191,0.18847,0.28941,0.2979,1.9457,0.43894
0.05305,1.1561,1.7242,2.816,2.4327,0.12473,0.26609,0.27761,1.8325,0.54983
