0.020467,0.28066,0.31506,0.61791,0.12473,0.00024625,1.7789,1.5303,0.14463,0.15762,0.86387,0.056474,0.036816
0.024189,0.33146,0.4492,0.85142,0.12222,0.00022027,1.7772,2.0459,0.1244,0.093624,1.9031,0.41907,0.049442
0.022529,0.27355,0.70293,1.0508,0.12551,0.00020003,1.7724,2.269,0.13723,0.15327,2.4041,0.56184,0.060453
0.040193,0.35401,0.59638,1.2991,0.12108,0.00018187,1.7661,2.3318,0.12912,0.22781,2.1839,0.37472,0.040387
0.036986,0.48773,0.45905,0.88964,0.12712,0.00016239,1.7665,1.7378,0.12271,0.1256,2.0809,0.18748,0.03017
0.037598,0.41889,0.35959,0.86402,0.12686,0.00014425,1.7599,1.9363,0.11789,0.08858,1.9646,0.22843,0.0508
0.039307,0.38281,0.368,0.50497,0.12215,0.00014076,1.7561,1.4143,0.11093,0.11262,2.0417,0.36127,0.095735
0.041617,0.3007,0.34663,0.51871,0.13044,0.00013806,1.7523,1.733,0.1214,0.091753,1.9392,0.34042,0.10792
0.043343,0.20938,0.34046,0.60402,0.12934,0.00013815,1.7505,1.6652,0.11769,0.085932,1.9146,0.51769,0.096537
0.040718,0.30971,0.30999,0.90818,0.12632,0.00013911,1.7447,1.6677,0.12422,0.14096,1.7301,0.56403,0.050721
