0.012275,0.11247,0.41097,2.9968,-1.6509,1.6787,2.1158,0.1584,0.64357,1.1019
0.016146,0.31933,0.33904,3.1853,-1.3277,1.6736,2.0424,0.12792,0.67546,1.1488
0.017867,0.22553,0.34325,3.1313,-0.97061,1.6639,1.9419,0.13558,1.0169,1.6362
0.025631,0.33689,0.40042,2.937,-0.4965,1.6646,1.8522,0.13097,0.91487,1.422
0.02427,0.29151,0.38794,2.1383,-0.15869,1.661,1.8304,0.132,1.1004,1.2107
0.016605,0.30907,0.43927,1.4493,-0.0074318,1.6603,1.6103,0.1321,0.98585,0.72365
0.029179,0.18678,0.38064,1.4543,-0.019318,1.6523,1.528,0.13202,0.8361,0.8519
0.068304,0.24249,0.28001,1.8673,-0.020916,1.6437,1.552,0.13273,0.68084,0.79684
0.081206,0.27855,0.30551,1.7323,-0.040735,1.6511,1.5604,0.13074,0.59184,0.43973
0.044986,0.26209,0.36626,1.0799,-0.064412,1.6469,1.5605,0.12976,0.56724,0.77417
