-0.0033259,0.029083,0.22065,1.9938,932.4,1.561,1.2306,0.70798,0.1057,0.22819,0.062474,0.30122
0.0067387,0.10644,0.18774,2.1629,0.021862,1.6542,1.293,0.1415,0.13393,0.19869,0.43004,0.15384
0.010597,0.22481,0.43589,1.6104,-0.35836,1.6775,1.2366,0.077924,0.1527,0.10403,0.12951,0.20883
0.12647,0.30153,0.55054,0.81203,-0.78397,1.653,1.3681,0.46862,0.1403,-0.34263,-0.05575,0.60397
0.026046,0.092032,0.19809,1.3365,-1.5387,1.6791,1.723,0.71208,0.12343,-0.12134,0.25481,0.16807
0.0069028,0.13136,0.12062,1.2811,-2.3588,1.6615,1.3619,0.52188,0.10565,-0.022715,0.24043,0.35104
0.1097,0.22001,0.26923,1.2686,-4.3632,1.6796,1.2464,0.19186,0.12324,0.081855,-0.098898,0.6996
0.1849,0.26566,0.37111,1.1994,-5.3755,1.6235,1.1175,0.56371,0.12554,0.3191,0.1696,0.69005
0.0079973,0.24293,0.40008,1.1597,-5.4347,1.6363,1.0911,0.43497,0.12146,0.37564,0.33933,0.57542
0.025778,0.48621,0.27917,0.30136,-5.964,1.6316,1.5453,0.2449,0.11331,0.74269,0.28816,0.75292
