0.058641,0.35453,0.37212,0.59098,0.085378,-3.3549,1.6238,1.6399,1.0721,0.14282,0.12751,2.1353,1.3041,0.053585,1.9113
0.0033006,0.30417,0.075942,0.85067,0.094993,-2.6333,1.6749,1.5393,0.20442,0.12418,0.14005,1.5647,1.3349,0.045455,1.3229
0.024921,0.29617,0.09396,0.58252,0.10241,-1.3005,1.6717,1.5691,0.53045,0.10362,0.071587,0.61113,0.65054,0.051664,0.79845
0.0043462,0.1733,0.16328,0.14925,0.09383,-1.561,1.6932,1.4099,1.0958,0.12708,0.078132,0.29154,0.2418,0.085208,0.72747
-0.022301,0.070465,0.47377,0.21641,0.11273,-0.25532,1.697,1.5765,1.8605,0.12357,0.083828,-0.065053,0.1843,0.11771,0.68199
0.07006,0.2755,0.33736,-0.23859,0.098434,420.52,1.6481,1.6855,1.7739,0.12111,0.17879,0.012588,0.2741,0.18184,0.71119
0.046903,0.14125,0.23211,0.035214,0.10047,0.85433,1.7031,2.1736,1.6849,0.11844,0.12825,0.79505,0.18308,0.090871,0.37376
0.036601,0.17817,0.18912,0.2823,0.11241,0.51815,1.6436,2.0765,1.4293,0.1408,0.11612,1.397,0.19979,0.060952,0.61023
0.11262,0.3533,0.22773,0.20633,0.0878,0.44585,1.6507,1.4135,1.0967,0.13664,0.10767,1.2703,0.15179,0.070493,0.66939
0.0018871,0.26348,0.34566,-0.080737,0.10581,0.3832,1.6649,1.553,0.99615,0.13761,0.030871,1.2979,0.17664,-0.0044985,0.58083
