0.032647,0.077497,0.40693,2.629,0.081249,-1.1423,1.5998,1.9134,0.56023,0.13351,0.13845,-0.13631,0.62606,0.032518,0.16999
0.022458,0.2293,0.24324,2.317,0.085609,-1.3448,1.6613,2.6523,3.6814,0.12067,0.15895,0.40999,1.7543,0.040789,1.4243
0.015022,0.5723,0.26756,1.8854,0.09983,-1.5104,1.6748,3.0349,4.72,0.13178,0.13793,1.1241,1.6234,0.090216,1.8976
0.019655,0.35223,0.28539,1.7909,0.10183,-1.7861,1.6757,2.886,4.6623,0.14225,0.17925,1.7309,1.9943,0.12553,1.8083
-0.00036655,0.55162,0.51161,1.8123,0.09484,1330.3,1.6924,2.1795,5.043,0.14792,0.264,1.3474,1.9038,0.15452,1.5101
0.0067267,0.40796,0.5931,2.1953,0.094063,-2.7662,1.6208,2.3721,4.716,0.12468,0.20684,1.3364,1.4081,0.070762,1.0539
0.012711,0.24189,0.6424,1.8232,0.10479,-2.8739,1.6872,2.1889,3.0519,0.13372,0.12747,1.1351,0.86949,0.041708,1.0177
0.057777,0.45145,0.59272,0.95368,0.11471,-3.3342,1.616,1.1423,1.2013,0.14949,0.057246,0.76114,0.59792,-0.022357,1.1601
0.0027811,0.39681,0.22105,1.1161,0.11363,-2.6195,1.6409,0.99637,0.77013,0.12142,0.080931,0.45449,0.82594,0.03063,0.9412
0.024675,0.39349,0.16012,0.67389,0.10666,-1.2897,1.6532,1.4085,0.45796,0.11244,0.01889,-0.014451,0.3893,0.0439,0.5053
