0.013736,0.14503,0.52303,4.1453,-2.0107,1.7422,2.2144,1.251,0.13005,0.46501,1.0413,0.79703
0.010248,0.14329,0.54366,2.9244,-1.5629,1.7341,2.4722,1.8263,0.14472,1.0138,3.4993,2.9223
0.0031217,0.29767,0.46044,2.9692,-1.4616,1.7374,2.6868,2.106,0.13243,1.5356,3.7847,2.9226
0.0067288,0.3567,0.36893,2.9747,-1.0298,1.7364,2.6885,2.1591,0.11962,2.0987,4.1253,3.2911
0.0076949,0.31754,0.31723,2.5567,-0.5739,1.7289,2.5073,2.3375,0.11058,2.5636,4.1204,3.0829
0.011407,0.33475,0.27329,1.788,-0.18846,1.7284,2.0718,2.415,0.11825,2.8096,3.7573,3.2858
0.012828,0.24464,0.34803,1.1779,-0.046437,1.7286,1.7555,2.1847,0.12743,3.1364,3.0177,2.3659
0.071906,0.25978,0.36678,0.59686,-0.027248,1.7213,1.6328,1.7974,0.12967,2.5737,1.6409,2.2672
0.014281,0.21932,0.39094,0.72071,-0.062431,1.7152,1.4522,1.4973,0.11866,1.9645,1.4268,1.0777
0.019519,0.23104,0.41257,0.77837,-0.079386,1.711,1.5021,1.316,0.11176,1.03,1.0094,0.7729
