0.036216,0.35993,0.31997,0.71658,0.12781,0.00015249,1.7554,1.6362,0.1184,0.12497,3.7408,4.3127,0.34989,4.2496
0.01506,0.44797,0.34794,0.38877,0.12745,0.00014947,1.7491,1.4525,0.12095,0.20847,2.8361,2.1181,0.14782,4.4052
0.013425,0.37626,0.37293,1.5478,0.12722,0.00014737,1.7471,1.4839,0.11875,0.17562,1.5882,2.0463,0.1913,2.7277
0.009874,0.43204,0.36369,1.1993,0.12395,0.00014845,1.744,1.6302,0.11258,0.15853,1.0397,1.479,0.17897,2.3241
0.061212,0.71095,0.33793,0.4761,0.12612,0.00015269,1.7401,1.606,0.12147,0.098065,0.79313,0.83229,0.15351,1.9582
0.0317,0.56213,0.35728,0.35054,0.12573,0.00015776,1.7351,1.7974,0.12562,0.13326,0.88328,0.32049,0.1278,1.7485
0.031722,0.42716,0.34653,0.51417,0.12311,0.00016237,1.7308,1.8391,0.1095,0.10793,0.98552,0.1713,0.046856,1.346
0.025668,0.41991,0.40649,0.80955,0.12978,0.00016352,1.7286,1.3883,0.10916,0.17478,1.6067,0.36346,0.076979,1.0762
0.042269,0.52983,0.55955,0.7292,0.125,0.00015733,1.7251,1.51,0.10483,0.15658,1.9209,0.55314,0.074566,1.0351
0.02271,0.59248,0.42437,0.82046,0.12424,0.00014884,1.7226,1.3685,0.11076,0.2164,1.9684,0.42911,0.057387,1.0828
