-0.13823,0.0081644,-0.15724,-0.33916,-0.1585,-0.025842,-0.11077,0.02121,0.020508,-0.026482,-0.022306,-0.065292,-0.33448,-0.074529,0.074454,-0.0093892,-1.0489,-0.37885,-0.08815,-0.039346,-0.42916,-0.08707,-0.60161,-0.59682,-0.59021,-0.064791,-0.034297,0.020575,-0.042897,-0.056196,-0.045068,-0.076675,0.029134,0.0019872,-0.038776,-0.033377,-0.023185
-0.12522,0.021962,-0.31587,-0.34264,-0.35817,-0.021911,-0.046329,-0.097027,-0.19227,-0.045362,-0.039564,-0.10771,-0.37935,-0.065227,-0.10174,-0.079113,-1.1589,-0.40119,-0.18148,-0.090188,-0.50143,-0.26942,-0.60406,-0.79299,-0.80116,-0.071281,-0.061156,0.0020148,-0.076547,-0.12803,-0.10701,-0.13279,-0.006446,-0.042264,-0.050436,-0.098193,-0.042359
-0.090247,-0.033838,-0.37207,-0.5558,-0.5091,-0.051124,-0.12924,-0.021738,-0.10029,-0.12435,-0.11783,-0.13855,-0.46239,-0.064085,0.05201,-0.11291,-1.2694,-0.51839,-0.26406,-0.16494,-0.51173,-0.14235,-0.74549,-0.87046,-0.89119,-0.13668,-0.091817,-0.0091236,-0.049585,-0.10511,-0.25696,-0.28437,0.048105,-0.064753,-0.049047,-0.18408,-0.060541
-0.085104,-0.12821,-0.5467,-0.75096,-0.57163,-0.065733,-0.026934,-0.076319,-0.14999,-0.064105,-0.059481,-0.19239,-0.65564,-0.10315,0.058406,-0.18781,-1.4123,-0.49005,-0.29341,-0.29085,-0.42935,-0.18007,-0.82103,-0.94836,-0.97558,-0.12322,-0.10713,-0.013007,-0.10138,-0.16641,-0.34837,-0.40254,0.0083241,-0.093208,-0.049039,-0.27471,-0.045596
-0.14364,-0.054604,-0.6301,-0.82083,-0.63366,-0.059936,-0.17545,-0.080422,-0.179,-0.026907,-0.019058,-0.20397,-0.59963,-0.086024,-0.1787,-0.29831,-1.4128,-0.65173,-0.3337,-0.3713,-0.39099,-0.22041,-0.97142,-0.98481,-1.0004,-0.13116,-0.1241,-0.025487,-0.09689,-0.22387,-0.42874,-0.48231,-0.055521,-0.15105,-0.086594,-0.20459,-0.050318
-0.16339,-0.019917,-0.74481,-0.6874,-0.74785,-0.075747,-0.12775,-0.081935,-0.13681,-0.1256,-0.11874,-0.2407,-0.47174,-0.11684,-0.13207,-0.27988,-1.4156,-0.82386,-0.35927,-0.44164,-0.39631,-0.20909,-1.1371,-1.1296,-1.1502,-0.20753,-0.13595,-0.059489,-0.094221,-0.23341,-0.51935,-0.55472,-0.07519,-0.16805,-0.11769,-0.20793,-0.10545
-0.13872,-0.0089647,-0.83842,-0.70008,-0.82894,-0.084025,-0.14079,-0.14155,-0.20606,-0.062417,-0.059625,-0.28751,-0.4569,-0.13784,-0.2484,-0.37871,-1.4205,-0.98103,-0.39107,-0.39919,-0.53529,-0.58794,-1.3286,-1.3243,-1.3348,-0.23012,-0.15426,-0.055379,-0.078103,-0.23959,-0.60398,-0.64422,-0.10008,-0.19533,-0.13926,-0.22927,-0.11469
-0.18944,-0.12099,-0.75241,-0.78352,-0.70062,-0.084806,-0.018971,-0.12916,-0.16947,-0.15083,-0.14204,-0.33868,-0.61961,-0.15334,-0.28748,-0.38834,-1.8474,-1.0965,-0.45805,-0.38324,-0.61618,-0.57785,-1.4692,-1.4892,-1.5013,-0.26228,-0.16555,-0.059949,-0.1133,-0.28287,-0.57681,-0.61572,-0.12743,-0.27839,-0.16609,-0.28455,-0.051077
-0.3052,-0.034152,-0.68741,-0.64803,-0.64903,-0.077187,-0.10509,-0.19096,-0.25755,-0.18724,-0.18001,-0.38763,-0.75945,-0.20703,-0.28293,-0.40305,-1.8288,-1.254,-0.50323,-0.39609,-0.68842,-0.74821,-1.6732,-1.713,-1.7096,-0.24872,-0.19524,-0.0655,-0.14112,-0.3298,-0.54931,-0.56759,-0.17064,-0.18407,-0.15129,-0.3486,-0.098596
-0.39724,-0.15605,-0.64473,-0.71701,-0.746,-0.097997,-0.16349,-0.2005,-0.28225,-0.20196,-0.19527,-0.44258,-0.78401,-0.16102,-0.28234,-0.36513,-1.623,-1.4505,-0.55703,-0.39411,-0.73348,-0.69588,-1.7563,-1.8714,-1.874,-0.23087,-0.17766,-0.083774,-0.14483,-0.28904,-0.56519,-0.58519,-0.17221,-0.14578,-0.17736,-0.29688,-0.13597
