-0.088015,-0.053612,-0.036896,-3.7652e-05,-0.054637,-0.00026848,-0.04605,-0.10859,-0.1905,-0.079433,0.057235,-0.056803,-0.02382,-0.020109,-0.033243,-0.034079,-0.065451,-0.076001,-0.044818,-0.034577,-0.063565,0.096385,0.0024867,0.0012448,-0.03657
-0.1841,-0.12822,-0.12678,-0.0046274,-0.11276,-0.020335,-0.069605,-0.22576,-0.43601,-0.16739,-0.027812,-0.073662,-0.065358,-0.061966,-0.10494,-0.10571,-0.083616,-0.15959,-0.11609,-0.11883,-0.16735,0.13188,-0.0046845,-0.0081909,-0.089147
-0.2143,-0.17293,-0.24314,-0.10511,-0.18316,-0.067351,-0.079579,-0.34387,-0.69732,-0.24367,-0.071464,-0.087637,-0.12789,-0.13024,-0.2101,-0.20987,-0.1781,-0.22895,-0.17727,-0.20052,-0.26449,0.18175,-0.0066127,-0.01114,-0.1104
-0.24255,-0.16586,-0.31709,-0.17368,-0.23512,-0.11088,-0.089412,-0.4462,-0.96465,-0.32771,-0.11475,-0.10318,-0.22255,-0.18355,-0.24441,-0.24374,-0.28421,-0.28122,-0.25215,-0.31019,-0.38714,0.15021,-0.010621,-0.01613,-0.090427
-0.39383,-0.15122,-0.35784,-0.21222,-0.28201,-0.17591,-0.10096,-0.58601,-1.1229,-0.41509,-0.1929,-0.086326,-0.31716,-0.24545,-0.28029,-0.27824,-0.41814,-0.37576,-0.32678,-0.39878,-0.48287,0.15232,-0.032934,-0.040714,-0.12707
-0.5041,-0.17623,-0.40083,-0.28912,-0.33606,-0.20771,-0.10752,-0.70279,-1.2937,-0.49179,-0.21721,-0.1017,-0.35341,-0.25203,-0.29448,-0.29103,-0.55052,-0.43998,-0.3524,-0.45172,-0.55024,0.083488,-0.041623,-0.051932,-0.12777
-0.54339,-0.1406,-0.44352,-0.36431,-0.3687,-0.2364,-0.11644,-0.81507,-1.508,-0.57122,-0.18802,-0.12606,-0.3734,-0.23486,-0.2846,-0.2819,-0.63595,-0.51958,-0.36078,-0.46866,-0.68207,0.06243,-0.065069,-0.076502,-0.12233
-0.59331,-0.12912,-0.50081,-0.45492,-0.38583,-0.25734,-0.1252,-0.91163,-1.702,-0.64548,-0.16367,-0.1336,-0.41614,-0.22353,-0.29368,-0.29154,-0.66155,-0.61317,-0.35067,-0.46329,-0.80121,0.03367,-0.10588,-0.11755,-0.13762
-0.67199,-0.16476,-0.57707,-0.50159,-0.42737,-0.2564,-0.13891,-1.0205,-1.8355,-0.72008,-0.14018,-0.14301,-0.43325,-0.23615,-0.30664,-0.30477,-0.75772,-0.68386,-0.36144,-0.49634,-0.90618,0.029608,-0.1273,-0.14005,-0.18239
-0.78802,-0.17436,-0.62282,-0.56605,-0.47038,-0.26442,-0.15887,-1.1458,-1.8891,-0.80454,-0.13223,-0.1639,-0.46256,-0.25944,-0.34805,-0.34594,-0.85088,-0.77396,-0.38222,-0.50138,-0.96969,-0.064488,-0.14268,-0.15601,-0.25082
