-0.12963,-0.092984,-0.14928,-0.14452,-0.23479,-0.2064,-0.27335,-0.11577,-0.042745,-0.043826,-0.059505,-0.076913,0.11031,0.0029851,-0.046447,0.054368,-0.31381,-0.21946,-0.22526,-0.024229,-0.079156,0.029978,-0.056818,-0.13078
-0.18036,-0.21185,-0.47474,-0.26697,-0.38472,-0.41765,-0.33814,-0.25244,-0.10735,-0.10595,-0.16431,0.020816,0.1688,-0.19971,-0.05823,0.11295,-0.29595,-0.30042,-0.12589,-0.36374,-0.12813,-0.12025,-0.17873,-0.2253
-0.16939,-0.37135,-0.65595,-0.52448,-0.4802,-0.505,-0.48896,-0.38766,-0.18166,-0.17679,-0.33114,-0.030336,0.097089,0.022513,-0.23959,0.024799,-0.44654,-0.52019,-0.44028,-0.41748,-0.13839,-0.090709,-0.087197,-0.47243
-0.17361,-0.55231,-0.73138,-0.75805,-0.46004,-0.65728,-0.58052,-0.44443,-0.2139,-0.21625,-0.45695,-0.068703,-0.02649,-0.22458,-0.16919,-0.080668,-0.30023,-0.62548,-0.654,-0.3641,-0.18602,-0.24153,-0.26126,-0.57765
-0.34097,-0.77702,-0.60619,-0.92731,-1,-1.107,-0.28607,-0.36287,-0.36001,-0.35458,-0.47307,-0.062712,-0.20816,-0.59503,-0.22993,-0.090546,-0.28352,-0.51873,-0.64049,-0.41272,-0.3228,-0.1966,-0.24389,-0.65919
-0.36356,-0.86879,-0.83436,-0.95897,-1.0965,-1.2908,-0.43188,-0.41541,-0.42342,-0.41479,-0.51687,-0.11785,-0.24165,-0.82373,-0.27146,-0.13975,-0.48363,-0.75431,-0.81075,-0.39846,-0.4152,-0.38989,-0.42072,-0.91521
-0.44685,-0.82446,-0.46499,-0.85042,-1.159,-1.3745,-0.65132,-0.5335,-0.58153,-0.56857,-0.61071,-0.24884,-0.2218,-1.0375,-0.29056,-0.29516,-0.77305,-1.0263,-0.90522,-0.61554,-0.53627,-0.67525,-0.66544,-0.96741
-0.78951,-0.51564,-0.4094,-0.72319,-1.2843,-1.2415,-0.96125,-0.76483,-0.67063,-0.65122,-0.70317,-0.31036,-0.44978,-1.2799,-0.55929,-0.4265,-0.84467,-1.1301,-1.0867,-0.84803,-0.58813,-0.59404,-0.65203,-1.0444
-0.81281,-0.8133,-0.41365,-0.84828,-1.578,-1.3717,-1.0416,-0.84004,-0.91744,-0.89946,-0.87437,-0.61951,-0.23498,-1.4995,-0.76186,-0.54276,-0.96883,-1.1248,-1.2507,-0.78417,-0.75075,-0.82725,-0.88065,-1.2828
-0.95465,-0.71348,-0.49404,-0.9338,-1.4758,-1.4403,-1.1918,-0.91809,-1.0001,-0.99247,-1.0324,-0.74033,-0.20982,-1.8443,-0.86777,-0.6855,-1.0753,-1.2844,-1.2726,-1.0749,-0.91831,-1.0736,-1.0278,-1.2764
