-2.2801,-0.75559,-0.91212,-0.8074,-1.2254,-1.1236,-0.88859,-0.86399,-0.97829,-0.96291,-1.0178,-1.3013,-1.825,-2.751,-1.9114,-2.4061,-3.356,-3.232,-2.2903,-2.5699,-2.722,-0.42342,-0.5163,-0.80454,-1.717,-1.7712,-0.17157,-0.36623,-0.28495,-0.26595,-0.4109,-0.19837,-2.8295,-2.8834,-2.4192,-2.7848,-3.3235,-2.0159,-0.50137
-2.0878,-0.70508,-0.85863,-0.87707,-1.1001,-1.1368,-0.85983,-0.89332,-0.90887,-0.90107,-1.1067,-1.2052,-1.8042,-2.6047,-1.8235,-2.2156,-3.0549,-3.0125,-2.0868,-2.4471,-2.5584,-0.38159,-0.43579,-1.1138,-1.7508,-1.808,-0.23004,-0.39134,-0.32492,-0.28249,-0.44492,-0.21459,-2.4969,-2.5828,-2.445,-2.777,-3.0739,-1.8276,-0.44123
-2.0599,-0.61687,-0.72235,-0.77098,-1.1306,-1.1871,-0.89121,-0.89953,-1.08,-1.0512,-0.93351,-1.2354,-1.609,-2.4779,-1.9573,-2.14,-3.2016,-2.8072,-1.913,-2.4578,-2.3353,-0.34916,-0.30363,-1.1237,-1.5574,-1.6088,-0.25594,-0.32461,-0.25982,-0.27444,-0.24997,-0.23186,-2.2185,-2.2885,-2.3414,-2.7958,-2.8554,-1.5179,-0.423
-2.0023,-0.4851,-0.65899,-0.60334,-1.0468,-1.1604,-0.83838,-0.77723,-1.0181,-0.98674,-1.0263,-1.102,-1.5008,-2.3643,-1.7858,-1.9646,-3.7441,-2.5936,-1.6643,-2.3954,-2.1438,-0.34586,-0.34341,-0.82362,-1.8522,-1.9037,-0.20127,-0.3957,-0.11667,-0.31062,-0.21279,-0.36632,-2.043,-2.1138,-2.5049,-2.5257,-2.663,-1.2446,-0.46592
-1.7475,-0.39426,-0.55454,-0.47599,-0.82908,-1.0646,-0.85118,-0.79874,-0.90657,-0.89207,-0.94889,-0.9775,-1.1742,-2.1513,-1.5338,-2.0317,-3.8924,-2.3682,-1.5323,-2.1203,-1.9865,-0.16823,-0.23532,-0.96919,-1.1357,-1.1875,-0.051879,-0.48273,0.0013336,-0.24368,-0.27209,-0.34702,-1.818,-1.8816,-2.1021,-2.1405,-2.4678,-1.1737,-0.41333
-1.6689,-0.31136,-0.45166,-0.38541,-0.80309,-1.0117,-0.8394,-0.8199,-0.58958,-0.56798,-0.72306,-0.87427,-0.95008,-1.9746,-1.2908,-1.8784,-3.6442,-2.135,-1.2191,-1.8256,-1.7679,-0.056832,-0.24032,-0.82807,-1.0801,-1.1304,0.086695,-0.45675,0.00079252,-0.19552,-0.3534,-0.32277,-1.6468,-1.7119,-2.1735,-1.9174,-2.1884,-1.005,-0.4615
-1.5891,-0.27504,-0.3267,-0.3343,-0.84505,-0.83243,-0.80625,-0.80504,-0.41594,-0.39979,-0.69199,-0.87687,-0.90066,-1.8869,-1.1453,-1.7603,-3.1568,-1.9264,-1.0676,-1.5161,-1.6208,-0.003518,-0.26163,-0.56137,-1.1659,-1.2008,0.1339,-0.35825,-0.028613,-0.13145,-0.33448,-0.31744,-1.4245,-1.4938,-2.1319,-1.7443,-1.9572,-1.0067,-0.46078
-1.3456,-0.26362,-0.27956,-0.2693,-0.84226,-0.57101,-0.68999,-0.66633,-0.38972,-0.36873,-0.71476,-0.71458,-0.64314,-1.6942,-0.98476,-1.4637,-2.8853,-1.7097,-0.84323,-1.3462,-1.4015,-0.0021352,-0.10561,-0.37042,-1.0002,-1.0347,0.16029,-0.22227,-0.031607,-0.17679,-0.35998,-0.29316,-1.2082,-1.2689,-1.9534,-1.6166,-1.6643,-0.92044,-0.41412
-1.3495,-0.18917,-0.16708,-0.22093,-0.81237,-0.57052,-0.66132,-0.63622,-0.48833,-0.47997,-0.67232,-0.70198,-0.52152,-1.4253,-0.92816,-1.3241,-2.6497,-1.5018,-0.65721,-1.2994,-1.2281,0.017118,-0.090627,-0.12034,-0.85589,-0.87308,0.24463,-0.15612,0.0029956,-0.16066,-0.24062,-0.27332,-1.045,-1.1039,-1.809,-1.3778,-1.3242,-0.57242,-0.42448
-1.2403,-0.12214,0.00072658,-0.18198,-0.64289,-0.59796,-0.65607,-0.61512,-0.52897,-0.51943,-0.61074,-0.54544,-0.44527,-1.3315,-0.69775,-1.0944,-2.3189,-1.3008,-0.48233,-1.0595,-1.0252,0.062045,-0.058997,-0.29292,-0.68355,-0.74838,0.23803,-0.15162,0.081268,-0.14387,-0.15473,-0.22804,-0.89764,-0.93898,-1.6809,-1.1043,-1.0311,-0.24928,-0.44301
