1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-0.406,-0.408,-0.274,-0.35,-0.281,-0.288,-0.785,-0.225,-0.321,-0.41,-0.401,-0.523,-0.273,-0.385,-0.839,-0.836,-0.772,-0.259,-0.392,-2.364,-3.692,-1.218,-0.139,-0.364,-0.173,-0.234,-0.23,-0.191,-0.387,-0.321,-0.227,-0.211,-0.225,-0.967,-1.014,-0.64,-1.915,-1.824,-0.897,-0.858
-0.295,-0.373,-0.235,-0.3,-0.239,-0.232,-0.443,-0.181,-0.257,-0.381,-0.371,-0.445,-0.272,-0.282,-0.797,-0.951,-0.804,-0.182,-0.223,-2.032,-2.62,-0.817,-0.082,-0.219,-0.095,-0.113,-0.113,-0.141,-0.24,-0.276,-0.224,-0.2,-0.227,-1.001,-1.038,-0.548,-0.886,-1.592,-0.383,-0.941
-0.254,-0.278,-0.162,-0.248,-0.172,-0.154,-0.26,-0.138,-0.189,-0.333,-0.325,-0.317,-0.288,-0.104,-0.846,-1.131,-0.773,-0.093,-0.189,-1.44,-2.961,-0.616,-0.12,-0.148,-0.074,-0.071,-0.072,-0.121,-0.183,-0.258,-0.199,-0.191,-0.186,-0.792,-0.809,-0.571,-0.517,-1.206,-0.315,-0.914
-0.231,-0.232,-0.121,-0.2,-0.129,-0.142,-0.16,-0.102,-0.134,-0.252,-0.246,-0.226,-0.635,-0.092,-0.703,-1.159,-0.78,-0.085,-0.114,-0.795,-2.286,-0.709,-0.057,-0.16,-0.066,-0.065,-0.065,-0.081,-0.137,-0.193,-0.101,-0.204,-0.156,-0.56,-0.597,-0.466,-0.878,-0.606,-0.751,-0.774
-0.183,-0.238,-0.108,-0.164,-0.119,-0.129,-0.198,-0.085,-0.108,-0.181,-0.172,-0.194,-0.611,-0.096,-0.651,-1.073,-0.632,-0.068,-0.087,-0.871,-0.909,-0.393,-0.053,-0.064,-0.068,-0.066,-0.065,-0.046,-0.095,-0.112,-0.054,-0.154,-0.122,-0.504,-0.54,-0.373,-0.999,-0.551,-0.583,-0.599
-0.121,-0.178,-0.105,-0.143,-0.12,-0.094,-0.173,-0.053,-0.06,-0.099,-0.093,-0.115,-0.377,-0.053,-0.465,-0.479,-0.445,-0.017,-0.042,-0.958,-0.999,-0.257,-0.038,-0.043,-0.041,-0.042,-0.041,-0.015,-0.071,-0.055,-0.028,-0.081,-0.075,-0.368,-0.404,-0.304,-0.511,-0.378,-0.382,-0.423
-0.089,-0.134,-0.053,-0.104,-0.06,-0.079,-0.145,-0.037,-0.036,-0.083,-0.075,-0.091,-0.245,-0.029,-0.528,-0.312,-0.553,-0.019,-0.03,-0.543,-0.357,-0.182,-0.001,-0.001,-0.048,-0.043,-0.042,-0.006,-0.065,-0.041,-0.007,-0.033,-0.042,-0.197,-0.234,-0.166,-0.183,-0.23,-0.253,-0.366
-0.041,-0.045,-0.007,-0.062,-0.007,-0.045,-0.105,-0.028,-0.023,-0.065,-0.058,-0.075,-0.106,-0.037,-0.47,-0.204,-0.488,-0.001,-0.018,-0.364,-0.375,-0.069,0.0,0.0,-0.02,-0.003,-0.003,-0.001,-0.039,-0.025,-0.001,-0.012,-0.012,-0.158,-0.195,-0.071,-0.204,-0.199,-0.104,-0.227
-0.002,-0.004,0.0,-0.011,0.0,-0.016,-0.048,-0.008,-0.001,-0.035,-0.028,-0.04,-0.02,-0.032,-0.238,-0.143,-0.243,0.0,0.0,-0.2,-0.202,-0.015,0.0,0.0,-0.004,-0.001,0.0,0.0,-0.022,-0.002,0.0,-0.001,-0.001,-0.023,-0.055,-0.019,-0.157,-0.18,-0.094,-0.09
0.0,0.0,0.0,0.0,0.0,-0.001,-0.016,0.0,0.0,-0.001,-0.001,-0.006,-0.003,0.0,-0.137,-0.056,-0.125,0.0,0.0,-0.049,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,-0.078,-0.098,-0.036,-0.071
