-0.10688,-0.083421,0.017078,-0.058585,0.19265,-0.32362,0.091186,-0.068128,-0.11497,-0.068892,-0.070334,-0.077167,-0.063695,0.038765,-0.12591,0.063577,0.023732,-0.07217,0.0058376,-0.069003,-0.12793,-0.037029,0.018804,0.034015,-0.074414,0.06086,-0.12548,-0.14562,-0.11564,-0.088028,-0.12448,-0.10753,-0.20927,-0.034906
-0.35607,-0.24977,-0.059795,-0.31197,0.046265,-0.41181,0.0082613,-0.11517,-0.17847,-0.11227,-0.12144,-0.13942,-0.16475,-0.073543,-0.12996,-0.114,-0.13177,-0.073815,-0.04492,-0.24449,-0.2813,-0.010548,0.014732,0.02183,-0.077119,-0.24441,-0.30883,-0.4501,-0.49999,-0.1726,-0.13325,-0.077678,-0.34812,-0.16216
-0.41331,-0.2309,-0.2628,-0.2896,-0.26408,-0.65788,-0.11028,-0.18856,-0.29193,-0.23313,-0.24353,-0.1975,-0.25217,-0.16719,-0.10699,-0.17649,-0.30162,-0.11483,-0.11222,-0.41304,-0.37714,-0.033997,0.31774,0.31391,-0.18415,-0.43025,-0.43012,-0.71068,-0.6113,-0.23401,-0.28767,-0.26397,-0.60768,-0.23866
-0.75413,-0.34708,-0.27962,-0.63442,-0.10699,-0.73119,-0.23517,-0.32878,-0.50771,-0.30456,-0.31689,-0.29242,-0.36218,-0.24129,-0.12316,-0.50782,-0.54753,-0.10835,-0.15054,-0.44779,-0.45235,-0.18784,0.10887,0.10409,-0.37508,-0.57329,-0.55633,-0.73768,-0.57189,-0.30129,-0.37464,-0.4101,-0.68656,-0.30888
-1.0611,-0.42179,-0.57108,-1.0399,-0.79808,-0.82721,-0.51295,-0.47181,-0.70763,-0.5093,-0.51623,-0.39188,-0.47596,-0.37377,-0.39729,-0.69216,-0.66172,-0.25706,-0.41742,-0.46571,-0.56679,-0.59206,-0.22012,-0.20898,-0.45559,-0.72953,-0.66188,-0.47076,-1.1009,-0.40694,-0.40061,-0.50257,-0.76032,-0.38131
-1.1627,-0.56978,-0.74351,-1.1187,-0.99141,-0.98741,-0.87767,-0.53836,-0.86058,-0.71734,-0.70969,-0.48939,-0.56309,-0.68347,-0.73191,-1.0595,-0.72189,-0.28213,-0.34192,-0.69314,-0.69712,-0.76487,-0.26772,-0.24531,-0.62557,-1.0646,-0.84596,-0.642,-1.4963,-0.5146,-0.65319,-0.61044,-0.75387,-0.42718
-1.3327,-0.73735,-0.92366,-1.3813,-0.89667,-1.1471,-1.0511,-0.62095,-1.0353,-0.7965,-0.78551,-0.63316,-0.69935,-0.77813,-1.0649,-1.3309,-0.94052,-0.29287,-0.46929,-0.84107,-0.87759,-0.78206,-0.36375,-0.3483,-0.792,-1.3055,-1.0905,-0.88433,-1.6339,-0.62244,-0.83019,-0.81515,-0.86983,-0.63862
-1.6648,-0.91569,-0.95135,-1.2644,-0.98485,-1.3641,-1.2478,-0.68506,-1.122,-0.94623,-0.94318,-0.75104,-0.82548,-0.80604,-1.1394,-1.4099,-1.0478,-0.53669,-0.6583,-1.0239,-1.0764,-0.81563,-0.37591,-0.37723,-0.89721,-1.6262,-1.255,-1.1784,-1.9478,-0.75049,-1.0478,-1.0029,-0.9472,-0.87382
-1.8448,-1.0156,-0.93206,-1.1883,-1.1014,-1.6446,-1.3837,-0.67591,-1.1092,-1.1423,-1.137,-0.85404,-0.94991,-1.2081,-1.4999,-1.6807,-1.6043,-0.94004,-0.97529,-1.2042,-1.2497,-0.81839,-0.56745,-0.55877,-1.144,-1.6243,-1.4483,-1.4126,-1.9655,-0.90872,-1.2946,-1.3866,-1.2709,-1.0038
-1.8778,-1.1568,-1.1426,-1.221,-1.4594,-2.0048,-1.6149,-0.76076,-1.1957,-1.3467,-1.3375,-1.0006,-1.1313,-1.444,-1.9996,-1.8741,-1.6601,-1.0353,-1.0715,-1.3833,-1.4415,-1.0086,-0.75199,-0.73787,-1.3308,-1.6957,-1.5857,-1.3902,-1.9416,-1.1404,-1.3371,-1.2769,-1.6296,-1.0942
